Data source,Date of update,Product name,Product type,Non-traditionals categories,Antibacterial class,Indications,Route of administration,R&D phase,Developer,Pathogen category,Pathogen name,Pathogen activity,Active against priority pathogens?,Innovative?,NCE?,Mycobacterium tuberculosis,Clostridioides difficile
WHO AMR pipeline analysis,Nov-21,AB103,Non-traditional,Immunomodulating agents,Antagonist of superantigen exotoxins and CD28 T-cell,"S. aureus necrotizing soft tissue infection, acute kidney injury, peritonitis",IV,Preregistration,Atox Bio,Priority pathogens,Enterobacterales,Critical priority pathogens,,,Yes,,
WHO AMR pipeline analysis,Nov-21,AB103,Non-traditional,Immunomodulating agents,Antagonist of superantigen exotoxins and CD28 T-cell,"S. aureus necrotizing soft tissue infection, acute kidney injury, peritonitis",IV,Preregistration,Atox Bio,Priority pathogens,Critical priority pathogens,Critical priority pathogens,,,Yes,,
WHO AMR pipeline analysis,Nov-21,AB103,Non-traditional,Immunomodulating agents,Antagonist of superantigen exotoxins and CD28 T-cell,"S. aureus necrotizing soft tissue infection, acute kidney injury, peritonitis",IV,Preregistration,Atox Bio,Priority pathogens,Campylobacter spp.,Other priority pathogens,,,Yes,,
WHO AMR pipeline analysis,Nov-21,AB103,Non-traditional,Immunomodulating agents,Antagonist of superantigen exotoxins and CD28 T-cell,"S. aureus necrotizing soft tissue infection, acute kidney injury, peritonitis",IV,Preregistration,Atox Bio,Priority pathogens,All critical priority pathogens,Critical priority pathogens,,,Yes,,
WHO AMR pipeline analysis,Nov-21,AB103,Non-traditional,Immunomodulating agents,Antagonist of superantigen exotoxins and CD28 T-cell,"S. aureus necrotizing soft tissue infection, acute kidney injury, peritonitis",IV,Preregistration,Atox Bio,Priority pathogens,Acinetobacter baumannii,Critical priority pathogens,,,Yes,,
WHO AMR pipeline analysis,Nov-21,Afabicin,Antibiotics,,FabI inhibitor,"ABSSI (caused by S. aureus), osteomyelitis","IV, Oral",Phase II,Debiopharm International SA,Priority pathogens,Streptococcus pneumoniae,Other priority pathogens,No,Yes,Yes,,
WHO AMR pipeline analysis,Nov-21,Afabicin,Antibiotics,,FabI inhibitor,"ABSSI (caused by S. aureus), osteomyelitis","IV, Oral",Phase II,Debiopharm International SA,Priority pathogens,Staphylococcus aureus,Other priority pathogens,Yes,Yes,Yes,,
WHO AMR pipeline analysis,Nov-21,Afabicin,Antibiotics,,FabI inhibitor,"ABSSI (caused by S. aureus), osteomyelitis","IV, Oral",Phase II,Debiopharm International SA,Priority pathogens,Pseudomonas aeruginosa,Critical priority pathogens,No,Yes,Yes,,
WHO AMR pipeline analysis,Nov-21,Afabicin,Antibiotics,,FabI inhibitor,"ABSSI (caused by S. aureus), osteomyelitis","IV, Oral",Phase II,Debiopharm International SA,Priority pathogens,Other priority pathogens,Other priority pathogens,Yes,Yes,Yes,,
WHO AMR pipeline analysis,Nov-21,Afabicin,Antibiotics,,FabI inhibitor,"ABSSI (caused by S. aureus), osteomyelitis","IV, Oral",Phase II,Debiopharm International SA,Priority pathogens,Neisseria gonnorhoeae,Other priority pathogens,No,Yes,Yes,,
WHO AMR pipeline analysis,Nov-21,Afabicin,Antibiotics,,FabI inhibitor,"ABSSI (caused by S. aureus), osteomyelitis","IV, Oral",Phase II,Debiopharm International SA,Priority pathogens,Helicobacter pylori,Other priority pathogens,No,Yes,Yes,,
WHO AMR pipeline analysis,Nov-21,Afabicin,Antibiotics,,FabI inhibitor,"ABSSI (caused by S. aureus), osteomyelitis","IV, Oral",Phase II,Debiopharm International SA,Priority pathogens,Gram-positive priority pathogens,Other priority pathogens,Yes,Yes,Yes,,
WHO AMR pipeline analysis,Nov-21,Afabicin,Antibiotics,,FabI inhibitor,"ABSSI (caused by S. aureus), osteomyelitis","IV, Oral",Phase II,Debiopharm International SA,Priority pathogens,Enterococcus faecium,Other priority pathogens,No,Yes,Yes,,
WHO AMR pipeline analysis,Nov-21,Afabicin,Antibiotics,,FabI inhibitor,"ABSSI (caused by S. aureus), osteomyelitis","IV, Oral",Phase II,Debiopharm International SA,Priority pathogens,Enterobacterales,Critical priority pathogens,No,Yes,Yes,,
WHO AMR pipeline analysis,Nov-21,Afabicin,Antibiotics,,FabI inhibitor,"ABSSI (caused by S. aureus), osteomyelitis","IV, Oral",Phase II,Debiopharm International SA,Priority pathogens,Critical priority pathogens,Critical priority pathogens,No,Yes,Yes,,
WHO AMR pipeline analysis,Nov-21,Afabicin,Antibiotics,,FabI inhibitor,"ABSSI (caused by S. aureus), osteomyelitis","IV, Oral",Phase II,Debiopharm International SA,Priority pathogens,Campylobacter spp.,Other priority pathogens,No,Yes,Yes,,
WHO AMR pipeline analysis,Nov-21,Afabicin,Antibiotics,,FabI inhibitor,"ABSSI (caused by S. aureus), osteomyelitis","IV, Oral",Phase II,Debiopharm International SA,Priority pathogens,All critical priority pathogens,Critical priority pathogens,No,Yes,Yes,,
WHO AMR pipeline analysis,Nov-21,Afabicin,Antibiotics,,FabI inhibitor,"ABSSI (caused by S. aureus), osteomyelitis","IV, Oral",Phase II,Debiopharm International SA,Priority pathogens,Acinetobacter baumannii,Critical priority pathogens,No,Yes,Yes,,
WHO AMR pipeline analysis,Nov-21,ALS-4,Non-traditional,Miscellaneous,Staphyloxanthin biosynthesis inhibition,S. aureus,Oral,Phase I,Aptorum Group,Priority pathogens,Streptococcus pneumoniae,Other priority pathogens,,,Yes,,
WHO AMR pipeline analysis,Nov-21,ALS-4,Non-traditional,Miscellaneous,Staphyloxanthin biosynthesis inhibition,S. aureus,Oral,Phase I,Aptorum Group,Priority pathogens,Staphylococcus aureus,Other priority pathogens,Yes,,Yes,,
WHO AMR pipeline analysis,Nov-21,ALS-4,Non-traditional,Miscellaneous,Staphyloxanthin biosynthesis inhibition,S. aureus,Oral,Phase I,Aptorum Group,Priority pathogens,Pseudomonas aeruginosa,Critical priority pathogens,,,Yes,,
WHO AMR pipeline analysis,Nov-21,ALS-4,Non-traditional,Miscellaneous,Staphyloxanthin biosynthesis inhibition,S. aureus,Oral,Phase I,Aptorum Group,Priority pathogens,Other priority pathogens,Other priority pathogens,Yes,,Yes,,
WHO AMR pipeline analysis,Nov-21,ALS-4,Non-traditional,Miscellaneous,Staphyloxanthin biosynthesis inhibition,S. aureus,Oral,Phase I,Aptorum Group,Priority pathogens,Neisseria gonnorhoeae,Other priority pathogens,,,Yes,,
WHO AMR pipeline analysis,Nov-21,ALS-4,Non-traditional,Miscellaneous,Staphyloxanthin biosynthesis inhibition,S. aureus,Oral,Phase I,Aptorum Group,Priority pathogens,Helicobacter pylori,Other priority pathogens,,,Yes,,
WHO AMR pipeline analysis,Nov-21,ALS-4,Non-traditional,Miscellaneous,Staphyloxanthin biosynthesis inhibition,S. aureus,Oral,Phase I,Aptorum Group,Priority pathogens,Gram-positive priority pathogens,Other priority pathogens,Yes,,Yes,,
WHO AMR pipeline analysis,Nov-21,ALS-4,Non-traditional,Miscellaneous,Staphyloxanthin biosynthesis inhibition,S. aureus,Oral,Phase I,Aptorum Group,Priority pathogens,Enterococcus faecium,Other priority pathogens,,,Yes,,
WHO AMR pipeline analysis,Nov-21,ALS-4,Non-traditional,Miscellaneous,Staphyloxanthin biosynthesis inhibition,S. aureus,Oral,Phase I,Aptorum Group,Priority pathogens,Enterobacterales,Critical priority pathogens,,,Yes,,
WHO AMR pipeline analysis,Nov-21,ALS-4,Non-traditional,Miscellaneous,Staphyloxanthin biosynthesis inhibition,S. aureus,Oral,Phase I,Aptorum Group,Priority pathogens,Critical priority pathogens,Critical priority pathogens,,,Yes,,
WHO AMR pipeline analysis,Nov-21,ALS-4,Non-traditional,Miscellaneous,Staphyloxanthin biosynthesis inhibition,S. aureus,Oral,Phase I,Aptorum Group,Priority pathogens,Campylobacter spp.,Other priority pathogens,,,Yes,,
WHO AMR pipeline analysis,Nov-21,ALS-4,Non-traditional,Miscellaneous,Staphyloxanthin biosynthesis inhibition,S. aureus,Oral,Phase I,Aptorum Group,Priority pathogens,All critical priority pathogens,Critical priority pathogens,,,Yes,,
WHO AMR pipeline analysis,Nov-21,ALS-4,Non-traditional,Miscellaneous,Staphyloxanthin biosynthesis inhibition,S. aureus,Oral,Phase I,Aptorum Group,Priority pathogens,Acinetobacter baumannii,Critical priority pathogens,,,Yes,,
WHO AMR pipeline analysis,Nov-21,AP-PA02,Non-traditional,Bacteriophages and phage-derived enzymes,Bacteriophage,CF subjects with P. aeruginosa infections,Inhalation,Phase II,Armata Pharmaceuticals,Priority pathogens,Streptococcus pneumoniae,Other priority pathogens,,,Yes,,
WHO AMR pipeline analysis,Nov-21,AP-PA02,Non-traditional,Bacteriophages and phage-derived enzymes,Bacteriophage,CF subjects with P. aeruginosa infections,Inhalation,Phase II,Armata Pharmaceuticals,Priority pathogens,Staphylococcus aureus,Other priority pathogens,,,Yes,,
WHO AMR pipeline analysis,Nov-21,AP-PA02,Non-traditional,Bacteriophages and phage-derived enzymes,Bacteriophage,CF subjects with P. aeruginosa infections,Inhalation,Phase II,Armata Pharmaceuticals,Priority pathogens,Pseudomonas aeruginosa,Critical priority pathogens,Yes,,Yes,,
WHO AMR pipeline analysis,Nov-21,AP-PA02,Non-traditional,Bacteriophages and phage-derived enzymes,Bacteriophage,CF subjects with P. aeruginosa infections,Inhalation,Phase II,Armata Pharmaceuticals,Priority pathogens,Other priority pathogens,Other priority pathogens,,,Yes,,
WHO AMR pipeline analysis,Nov-21,AP-PA02,Non-traditional,Bacteriophages and phage-derived enzymes,Bacteriophage,CF subjects with P. aeruginosa infections,Inhalation,Phase II,Armata Pharmaceuticals,Priority pathogens,Neisseria gonnorhoeae,Other priority pathogens,,,Yes,,
WHO AMR pipeline analysis,Nov-21,AP-PA02,Non-traditional,Bacteriophages and phage-derived enzymes,Bacteriophage,CF subjects with P. aeruginosa infections,Inhalation,Phase II,Armata Pharmaceuticals,Priority pathogens,Helicobacter pylori,Other priority pathogens,,,Yes,,
WHO AMR pipeline analysis,Nov-21,AP-PA02,Non-traditional,Bacteriophages and phage-derived enzymes,Bacteriophage,CF subjects with P. aeruginosa infections,Inhalation,Phase II,Armata Pharmaceuticals,Priority pathogens,Gram-positive priority pathogens,Other priority pathogens,,,Yes,,
WHO AMR pipeline analysis,Nov-21,AP-PA02,Non-traditional,Bacteriophages and phage-derived enzymes,Bacteriophage,CF subjects with P. aeruginosa infections,Inhalation,Phase II,Armata Pharmaceuticals,Priority pathogens,Enterococcus faecium,Other priority pathogens,,,Yes,,
WHO AMR pipeline analysis,Nov-21,AP-PA02,Non-traditional,Bacteriophages and phage-derived enzymes,Bacteriophage,CF subjects with P. aeruginosa infections,Inhalation,Phase II,Armata Pharmaceuticals,Priority pathogens,Enterobacterales,Critical priority pathogens,,,Yes,,
WHO AMR pipeline analysis,Nov-21,AP-PA02,Non-traditional,Bacteriophages and phage-derived enzymes,Bacteriophage,CF subjects with P. aeruginosa infections,Inhalation,Phase II,Armata Pharmaceuticals,Priority pathogens,Critical priority pathogens,Critical priority pathogens,Yes,,Yes,,
WHO AMR pipeline analysis,Nov-21,AP-PA02,Non-traditional,Bacteriophages and phage-derived enzymes,Bacteriophage,CF subjects with P. aeruginosa infections,Inhalation,Phase II,Armata Pharmaceuticals,Priority pathogens,Campylobacter spp.,Other priority pathogens,,,Yes,,
WHO AMR pipeline analysis,Nov-21,AP-PA02,Non-traditional,Bacteriophages and phage-derived enzymes,Bacteriophage,CF subjects with P. aeruginosa infections,Inhalation,Phase II,Armata Pharmaceuticals,Priority pathogens,All critical priority pathogens,Critical priority pathogens,,,Yes,,
WHO AMR pipeline analysis,Nov-21,AP-PA02,Non-traditional,Bacteriophages and phage-derived enzymes,Bacteriophage,CF subjects with P. aeruginosa infections,Inhalation,Phase II,Armata Pharmaceuticals,Priority pathogens,Acinetobacter baumannii,Critical priority pathogens,,,Yes,,
WHO AMR pipeline analysis,Nov-21,AR-301,Non-traditional,Antibodies,anti-S. aureus IgM monoclonal Ab,"S. aureus HAP, VAP",IV,Phase III,"Aridis Pharmaceuticals, Inc.",Priority pathogens,Streptococcus pneumoniae,Other priority pathogens,,,Yes,,
WHO AMR pipeline analysis,Nov-21,AR-301,Non-traditional,Antibodies,anti-S. aureus IgM monoclonal Ab,"S. aureus HAP, VAP",IV,Phase III,"Aridis Pharmaceuticals, Inc.",Priority pathogens,Staphylococcus aureus,Other priority pathogens,Yes,,Yes,,
WHO AMR pipeline analysis,Nov-21,AR-301,Non-traditional,Antibodies,anti-S. aureus IgM monoclonal Ab,"S. aureus HAP, VAP",IV,Phase III,"Aridis Pharmaceuticals, Inc.",Priority pathogens,Pseudomonas aeruginosa,Critical priority pathogens,,,Yes,,
WHO AMR pipeline analysis,Nov-21,AR-301,Non-traditional,Antibodies,anti-S. aureus IgM monoclonal Ab,"S. aureus HAP, VAP",IV,Phase III,"Aridis Pharmaceuticals, Inc.",Priority pathogens,Other priority pathogens,Other priority pathogens,,,Yes,,
WHO AMR pipeline analysis,Nov-21,AR-301,Non-traditional,Antibodies,anti-S. aureus IgM monoclonal Ab,"S. aureus HAP, VAP",IV,Phase III,"Aridis Pharmaceuticals, Inc.",Priority pathogens,Neisseria gonnorhoeae,Other priority pathogens,,,Yes,,
WHO AMR pipeline analysis,Nov-21,AR-301,Non-traditional,Antibodies,anti-S. aureus IgM monoclonal Ab,"S. aureus HAP, VAP",IV,Phase III,"Aridis Pharmaceuticals, Inc.",Priority pathogens,Helicobacter pylori,Other priority pathogens,,,Yes,,
WHO AMR pipeline analysis,Nov-21,AR-301,Non-traditional,Antibodies,anti-S. aureus IgM monoclonal Ab,"S. aureus HAP, VAP",IV,Phase III,"Aridis Pharmaceuticals, Inc.",Priority pathogens,Gram-positive priority pathogens,Other priority pathogens,Yes,,Yes,,
WHO AMR pipeline analysis,Nov-21,AR-301,Non-traditional,Antibodies,anti-S. aureus IgM monoclonal Ab,"S. aureus HAP, VAP",IV,Phase III,"Aridis Pharmaceuticals, Inc.",Priority pathogens,Enterococcus faecium,Other priority pathogens,,,Yes,,
WHO AMR pipeline analysis,Nov-21,AR-301,Non-traditional,Antibodies,anti-S. aureus IgM monoclonal Ab,"S. aureus HAP, VAP",IV,Phase III,"Aridis Pharmaceuticals, Inc.",Priority pathogens,Enterobacterales,Critical priority pathogens,,,Yes,,
WHO AMR pipeline analysis,Nov-21,AR-301,Non-traditional,Antibodies,anti-S. aureus IgM monoclonal Ab,"S. aureus HAP, VAP",IV,Phase III,"Aridis Pharmaceuticals, Inc.",Priority pathogens,Critical priority pathogens,Critical priority pathogens,,,Yes,,
WHO AMR pipeline analysis,Nov-21,AR-301,Non-traditional,Antibodies,anti-S. aureus IgM monoclonal Ab,"S. aureus HAP, VAP",IV,Phase III,"Aridis Pharmaceuticals, Inc.",Priority pathogens,Campylobacter spp.,Other priority pathogens,,,Yes,,
WHO AMR pipeline analysis,Nov-21,AR-301,Non-traditional,Antibodies,anti-S. aureus IgM monoclonal Ab,"S. aureus HAP, VAP",IV,Phase III,"Aridis Pharmaceuticals, Inc.",Priority pathogens,All critical priority pathogens,Critical priority pathogens,,,Yes,,
WHO AMR pipeline analysis,Nov-21,AR-301,Non-traditional,Antibodies,anti-S. aureus IgM monoclonal Ab,"S. aureus HAP, VAP",IV,Phase III,"Aridis Pharmaceuticals, Inc.",Priority pathogens,Acinetobacter baumannii,Critical priority pathogens,,,Yes,,
WHO AMR pipeline analysis,Nov-21,AR-302,Non-traditional,Antibodies,anti-S. aureus IgG monoclonal Ab,"S. aureus HAP, VAP",IV,Phase II,"Aridis
AstraZeneca/ MedImmune",Priority pathogens,Streptococcus pneumoniae,Other priority pathogens,,,Yes,,
WHO AMR pipeline analysis,Nov-21,AR-302,Non-traditional,Antibodies,anti-S. aureus IgG monoclonal Ab,"S. aureus HAP, VAP",IV,Phase II,"Aridis
AstraZeneca/ MedImmune",Priority pathogens,Staphylococcus aureus,Other priority pathogens,Yes,,Yes,,
WHO AMR pipeline analysis,Nov-21,AR-302,Non-traditional,Antibodies,anti-S. aureus IgG monoclonal Ab,"S. aureus HAP, VAP",IV,Phase II,"Aridis
AstraZeneca/ MedImmune",Priority pathogens,Pseudomonas aeruginosa,Critical priority pathogens,,,Yes,,
WHO AMR pipeline analysis,Nov-21,AR-302,Non-traditional,Antibodies,anti-S. aureus IgG monoclonal Ab,"S. aureus HAP, VAP",IV,Phase II,"Aridis
AstraZeneca/ MedImmune",Priority pathogens,Other priority pathogens,Other priority pathogens,,,Yes,,
WHO AMR pipeline analysis,Nov-21,AR-302,Non-traditional,Antibodies,anti-S. aureus IgG monoclonal Ab,"S. aureus HAP, VAP",IV,Phase II,"Aridis
AstraZeneca/ MedImmune",Priority pathogens,Neisseria gonnorhoeae,Other priority pathogens,,,Yes,,
WHO AMR pipeline analysis,Nov-21,AR-302,Non-traditional,Antibodies,anti-S. aureus IgG monoclonal Ab,"S. aureus HAP, VAP",IV,Phase II,"Aridis
AstraZeneca/ MedImmune",Priority pathogens,Helicobacter pylori,Other priority pathogens,,,Yes,,
WHO AMR pipeline analysis,Nov-21,AR-302,Non-traditional,Antibodies,anti-S. aureus IgG monoclonal Ab,"S. aureus HAP, VAP",IV,Phase II,"Aridis
AstraZeneca/ MedImmune",Priority pathogens,Gram-positive priority pathogens,Other priority pathogens,Yes,,Yes,,
WHO AMR pipeline analysis,Nov-21,AR-302,Non-traditional,Antibodies,anti-S. aureus IgG monoclonal Ab,"S. aureus HAP, VAP",IV,Phase II,"Aridis
AstraZeneca/ MedImmune",Priority pathogens,Enterococcus faecium,Other priority pathogens,,,Yes,,
WHO AMR pipeline analysis,Nov-21,AR-302,Non-traditional,Antibodies,anti-S. aureus IgG monoclonal Ab,"S. aureus HAP, VAP",IV,Phase II,"Aridis
AstraZeneca/ MedImmune",Priority pathogens,Enterobacterales,Critical priority pathogens,,,Yes,,
WHO AMR pipeline analysis,Nov-21,AR-302,Non-traditional,Antibodies,anti-S. aureus IgG monoclonal Ab,"S. aureus HAP, VAP",IV,Phase II,"Aridis
AstraZeneca/ MedImmune",Priority pathogens,Critical priority pathogens,Critical priority pathogens,,,Yes,,
WHO AMR pipeline analysis,Nov-21,AR-302,Non-traditional,Antibodies,anti-S. aureus IgG monoclonal Ab,"S. aureus HAP, VAP",IV,Phase II,"Aridis
AstraZeneca/ MedImmune",Priority pathogens,Campylobacter spp.,Other priority pathogens,,,Yes,,
WHO AMR pipeline analysis,Nov-21,AR-302,Non-traditional,Antibodies,anti-S. aureus IgG monoclonal Ab,"S. aureus HAP, VAP",IV,Phase II,"Aridis
AstraZeneca/ MedImmune",Priority pathogens,All critical priority pathogens,Critical priority pathogens,,,Yes,,
