Product name,Alternative name,Product type,Non-traditionals categories,Antibacterial class,Indications,Route of administration,R&D phase,Clinical trials,Developer,Pathogen category,Pathogen name,Pathogen activity,Active against priority pathogens?,Innovative?,Mycobacterium tuberculosis,Clostridioides difficile
9MW1411,NA,Non-traditional,Antibodies,Monoclonal antibody,S. aureus,IV,Phase I,NCT04784312,Mabwell Bioscience,Priority pathogens,Enterobacterales,Critical priority pathogens,NA,NA,NA,NA
9MW1411,NA,Non-traditional,Antibodies,Monoclonal antibody,S. aureus,IV,Phase I,NCT04784312,Mabwell Bioscience,Priority pathogens,Critical priority pathogens,Critical priority pathogens,NA,NA,NA,NA
9MW1411,NA,Non-traditional,Antibodies,Monoclonal antibody,S. aureus,IV,Phase I,NCT04784312,Mabwell Bioscience,Priority pathogens,Campylobacter spp.,Other priority pathogens,NA,NA,NA,NA
9MW1411,NA,Non-traditional,Antibodies,Monoclonal antibody,S. aureus,IV,Phase I,NCT04784312,Mabwell Bioscience,Priority pathogens,All critical priority pathogens,Critical priority pathogens,NA,NA,NA,NA
9MW1411,NA,Non-traditional,Antibodies,Monoclonal antibody,S. aureus,IV,Phase I,NCT04784312,Mabwell Bioscience,Priority pathogens,Acinetobacter baumannii,Critical priority pathogens,NA,NA,NA,NA
AB103,Reltecimod,Non-traditional,Immunomodulating agents,Antagonist of superantigen exotoxins and CD28 T-cell,"S. aureus necrotizing soft tissue infection, acute kidney injury, peritonitis",IV,Preregistration,"NCT02469857, NCT03403751",Atox Bio,Priority pathogens,Streptococcus pneumoniae,Other priority pathogens,NA,NA,NA,NA
AB103,Reltecimod,Non-traditional,Immunomodulating agents,Antagonist of superantigen exotoxins and CD28 T-cell,"S. aureus necrotizing soft tissue infection, acute kidney injury, peritonitis",IV,Preregistration,"NCT02469857, NCT03403751",Atox Bio,Priority pathogens,Staphylococcus aureus,Other priority pathogens,Yes,NA,NA,NA
AB103,Reltecimod,Non-traditional,Immunomodulating agents,Antagonist of superantigen exotoxins and CD28 T-cell,"S. aureus necrotizing soft tissue infection, acute kidney injury, peritonitis",IV,Preregistration,"NCT02469857, NCT03403751",Atox Bio,Priority pathogens,Pseudomonas aeruginosa,Critical priority pathogens,NA,NA,NA,NA
AB103,Reltecimod,Non-traditional,Immunomodulating agents,Antagonist of superantigen exotoxins and CD28 T-cell,"S. aureus necrotizing soft tissue infection, acute kidney injury, peritonitis",IV,Preregistration,"NCT02469857, NCT03403751",Atox Bio,Priority pathogens,Other priority pathogens,Other priority pathogens,Yes,NA,NA,NA
AB103,Reltecimod,Non-traditional,Immunomodulating agents,Antagonist of superantigen exotoxins and CD28 T-cell,"S. aureus necrotizing soft tissue infection, acute kidney injury, peritonitis",IV,Preregistration,"NCT02469857, NCT03403751",Atox Bio,Priority pathogens,Neisseria gonnorhoeae,Other priority pathogens,NA,NA,NA,NA
AB103,Reltecimod,Non-traditional,Immunomodulating agents,Antagonist of superantigen exotoxins and CD28 T-cell,"S. aureus necrotizing soft tissue infection, acute kidney injury, peritonitis",IV,Preregistration,"NCT02469857, NCT03403751",Atox Bio,Priority pathogens,Helicobacter pylori,Other priority pathogens,NA,NA,NA,NA
AB103,Reltecimod,Non-traditional,Immunomodulating agents,Antagonist of superantigen exotoxins and CD28 T-cell,"S. aureus necrotizing soft tissue infection, acute kidney injury, peritonitis",IV,Preregistration,"NCT02469857, NCT03403751",Atox Bio,Priority pathogens,Gram-positive priority pathogens,Other priority pathogens,Yes,NA,NA,NA
AB103,Reltecimod,Non-traditional,Immunomodulating agents,Antagonist of superantigen exotoxins and CD28 T-cell,"S. aureus necrotizing soft tissue infection, acute kidney injury, peritonitis",IV,Preregistration,"NCT02469857, NCT03403751",Atox Bio,Priority pathogens,Enterococcus faecium,Other priority pathogens,NA,NA,NA,NA
AB103,Reltecimod,Non-traditional,Immunomodulating agents,Antagonist of superantigen exotoxins and CD28 T-cell,"S. aureus necrotizing soft tissue infection, acute kidney injury, peritonitis",IV,Preregistration,"NCT02469857, NCT03403751",Atox Bio,Priority pathogens,Enterobacterales,Critical priority pathogens,NA,NA,NA,NA
AB103,Reltecimod,Non-traditional,Immunomodulating agents,Antagonist of superantigen exotoxins and CD28 T-cell,"S. aureus necrotizing soft tissue infection, acute kidney injury, peritonitis",IV,Preregistration,"NCT02469857, NCT03403751",Atox Bio,Priority pathogens,Critical priority pathogens,Critical priority pathogens,NA,NA,NA,NA
AB103,Reltecimod,Non-traditional,Immunomodulating agents,Antagonist of superantigen exotoxins and CD28 T-cell,"S. aureus necrotizing soft tissue infection, acute kidney injury, peritonitis",IV,Preregistration,"NCT02469857, NCT03403751",Atox Bio,Priority pathogens,Campylobacter spp.,Other priority pathogens,NA,NA,NA,NA
AB103,Reltecimod,Non-traditional,Immunomodulating agents,Antagonist of superantigen exotoxins and CD28 T-cell,"S. aureus necrotizing soft tissue infection, acute kidney injury, peritonitis",IV,Preregistration,"NCT02469857, NCT03403751",Atox Bio,Priority pathogens,All critical priority pathogens,Critical priority pathogens,NA,NA,NA,NA
AB103,Reltecimod,Non-traditional,Immunomodulating agents,Antagonist of superantigen exotoxins and CD28 T-cell,"S. aureus necrotizing soft tissue infection, acute kidney injury, peritonitis",IV,Preregistration,"NCT02469857, NCT03403751",Atox Bio,Priority pathogens,Acinetobacter baumannii,Critical priority pathogens,NA,NA,NA,NA
Afabicin,Debio 1450,Antibiotics,NA,FabI inhibitor,"ABSSI (caused by S. aureus), osteomyelitis","IV, Oral",Phase II,"NCT02426918, NCT03723551",Debiopharm International SA,Priority pathogens,Streptococcus pneumoniae,Other priority pathogens,No,Yes,NA,NA
Afabicin,Debio 1450,Antibiotics,NA,FabI inhibitor,"ABSSI (caused by S. aureus), osteomyelitis","IV, Oral",Phase II,"NCT02426918, NCT03723551",Debiopharm International SA,Priority pathogens,Staphylococcus aureus,Other priority pathogens,Yes,Yes,NA,NA
Afabicin,Debio 1450,Antibiotics,NA,FabI inhibitor,"ABSSI (caused by S. aureus), osteomyelitis","IV, Oral",Phase II,"NCT02426918, NCT03723551",Debiopharm International SA,Priority pathogens,Pseudomonas aeruginosa,Critical priority pathogens,No,Yes,NA,NA
Afabicin,Debio 1450,Antibiotics,NA,FabI inhibitor,"ABSSI (caused by S. aureus), osteomyelitis","IV, Oral",Phase II,"NCT02426918, NCT03723551",Debiopharm International SA,Priority pathogens,Other priority pathogens,Other priority pathogens,Yes,Yes,NA,NA
Afabicin,Debio 1450,Antibiotics,NA,FabI inhibitor,"ABSSI (caused by S. aureus), osteomyelitis","IV, Oral",Phase II,"NCT02426918, NCT03723551",Debiopharm International SA,Priority pathogens,Neisseria gonnorhoeae,Other priority pathogens,No,Yes,NA,NA
Afabicin,Debio 1450,Antibiotics,NA,FabI inhibitor,"ABSSI (caused by S. aureus), osteomyelitis","IV, Oral",Phase II,"NCT02426918, NCT03723551",Debiopharm International SA,Priority pathogens,Helicobacter pylori,Other priority pathogens,No,Yes,NA,NA
Afabicin,Debio 1450,Antibiotics,NA,FabI inhibitor,"ABSSI (caused by S. aureus), osteomyelitis","IV, Oral",Phase II,"NCT02426918, NCT03723551",Debiopharm International SA,Priority pathogens,Gram-positive priority pathogens,Other priority pathogens,Yes,Yes,NA,NA
Afabicin,Debio 1450,Antibiotics,NA,FabI inhibitor,"ABSSI (caused by S. aureus), osteomyelitis","IV, Oral",Phase II,"NCT02426918, NCT03723551",Debiopharm International SA,Priority pathogens,Enterococcus faecium,Other priority pathogens,No,Yes,NA,NA
Afabicin,Debio 1450,Antibiotics,NA,FabI inhibitor,"ABSSI (caused by S. aureus), osteomyelitis","IV, Oral",Phase II,"NCT02426918, NCT03723551",Debiopharm International SA,Priority pathogens,Enterobacterales,Critical priority pathogens,No,Yes,NA,NA
Afabicin,Debio 1450,Antibiotics,NA,FabI inhibitor,"ABSSI (caused by S. aureus), osteomyelitis","IV, Oral",Phase II,"NCT02426918, NCT03723551",Debiopharm International SA,Priority pathogens,Critical priority pathogens,Critical priority pathogens,No,Yes,NA,NA
Afabicin,Debio 1450,Antibiotics,NA,FabI inhibitor,"ABSSI (caused by S. aureus), osteomyelitis","IV, Oral",Phase II,"NCT02426918, NCT03723551",Debiopharm International SA,Priority pathogens,Campylobacter spp.,Other priority pathogens,No,Yes,NA,NA
Afabicin,Debio 1450,Antibiotics,NA,FabI inhibitor,"ABSSI (caused by S. aureus), osteomyelitis","IV, Oral",Phase II,"NCT02426918, NCT03723551",Debiopharm International SA,Priority pathogens,All critical priority pathogens,Critical priority pathogens,No,Yes,NA,NA
Afabicin,Debio 1450,Antibiotics,NA,FabI inhibitor,"ABSSI (caused by S. aureus), osteomyelitis","IV, Oral",Phase II,"NCT02426918, NCT03723551",Debiopharm International SA,Priority pathogens,Acinetobacter baumannii,Critical priority pathogens,No,Yes,NA,NA
ALS-4,NA,Non-traditional,Miscellaneous,Staphyloxanthin biosynthesis inhibition,S. aureus,Oral,Phase I,Not registered,Aptorum Group,Priority pathogens,Streptococcus pneumoniae,Other priority pathogens,NA,NA,NA,NA
ALS-4,NA,Non-traditional,Miscellaneous,Staphyloxanthin biosynthesis inhibition,S. aureus,Oral,Phase I,Not registered,Aptorum Group,Priority pathogens,Staphylococcus aureus,Other priority pathogens,Yes,NA,NA,NA
ALS-4,NA,Non-traditional,Miscellaneous,Staphyloxanthin biosynthesis inhibition,S. aureus,Oral,Phase I,Not registered,Aptorum Group,Priority pathogens,Pseudomonas aeruginosa,Critical priority pathogens,NA,NA,NA,NA
ALS-4,NA,Non-traditional,Miscellaneous,Staphyloxanthin biosynthesis inhibition,S. aureus,Oral,Phase I,Not registered,Aptorum Group,Priority pathogens,Other priority pathogens,Other priority pathogens,Yes,NA,NA,NA
ALS-4,NA,Non-traditional,Miscellaneous,Staphyloxanthin biosynthesis inhibition,S. aureus,Oral,Phase I,Not registered,Aptorum Group,Priority pathogens,Neisseria gonnorhoeae,Other priority pathogens,NA,NA,NA,NA
ALS-4,NA,Non-traditional,Miscellaneous,Staphyloxanthin biosynthesis inhibition,S. aureus,Oral,Phase I,Not registered,Aptorum Group,Priority pathogens,Helicobacter pylori,Other priority pathogens,NA,NA,NA,NA
ALS-4,NA,Non-traditional,Miscellaneous,Staphyloxanthin biosynthesis inhibition,S. aureus,Oral,Phase I,Not registered,Aptorum Group,Priority pathogens,Gram-positive priority pathogens,Other priority pathogens,Yes,NA,NA,NA
ALS-4,NA,Non-traditional,Miscellaneous,Staphyloxanthin biosynthesis inhibition,S. aureus,Oral,Phase I,Not registered,Aptorum Group,Priority pathogens,Enterococcus faecium,Other priority pathogens,NA,NA,NA,NA
ALS-4,NA,Non-traditional,Miscellaneous,Staphyloxanthin biosynthesis inhibition,S. aureus,Oral,Phase I,Not registered,Aptorum Group,Priority pathogens,Enterobacterales,Critical priority pathogens,NA,NA,NA,NA
ALS-4,NA,Non-traditional,Miscellaneous,Staphyloxanthin biosynthesis inhibition,S. aureus,Oral,Phase I,Not registered,Aptorum Group,Priority pathogens,Critical priority pathogens,Critical priority pathogens,NA,NA,NA,NA
ALS-4,NA,Non-traditional,Miscellaneous,Staphyloxanthin biosynthesis inhibition,S. aureus,Oral,Phase I,Not registered,Aptorum Group,Priority pathogens,Campylobacter spp.,Other priority pathogens,NA,NA,NA,NA
ALS-4,NA,Non-traditional,Miscellaneous,Staphyloxanthin biosynthesis inhibition,S. aureus,Oral,Phase I,Not registered,Aptorum Group,Priority pathogens,All critical priority pathogens,Critical priority pathogens,NA,NA,NA,NA
ALS-4,NA,Non-traditional,Miscellaneous,Staphyloxanthin biosynthesis inhibition,S. aureus,Oral,Phase I,Not registered,Aptorum Group,Priority pathogens,Acinetobacter baumannii,Critical priority pathogens,NA,NA,NA,NA
AP-PA02,NA,Non-traditional,Bacteriophages and phage-derived enzymes,Bacteriophage,CF subjects with P. aeruginosa infections,Inhalation,Phase II,NCT04596319,Armata Pharmaceuticals,Priority pathogens,Streptococcus pneumoniae,Other priority pathogens,NA,NA,NA,NA
AP-PA02,NA,Non-traditional,Bacteriophages and phage-derived enzymes,Bacteriophage,CF subjects with P. aeruginosa infections,Inhalation,Phase II,NCT04596319,Armata Pharmaceuticals,Priority pathogens,Staphylococcus aureus,Other priority pathogens,NA,NA,NA,NA
AP-PA02,NA,Non-traditional,Bacteriophages and phage-derived enzymes,Bacteriophage,CF subjects with P. aeruginosa infections,Inhalation,Phase II,NCT04596319,Armata Pharmaceuticals,Priority pathogens,Pseudomonas aeruginosa,Critical priority pathogens,Yes,NA,NA,NA
AP-PA02,NA,Non-traditional,Bacteriophages and phage-derived enzymes,Bacteriophage,CF subjects with P. aeruginosa infections,Inhalation,Phase II,NCT04596319,Armata Pharmaceuticals,Priority pathogens,Other priority pathogens,Other priority pathogens,NA,NA,NA,NA
AP-PA02,NA,Non-traditional,Bacteriophages and phage-derived enzymes,Bacteriophage,CF subjects with P. aeruginosa infections,Inhalation,Phase II,NCT04596319,Armata Pharmaceuticals,Priority pathogens,Neisseria gonnorhoeae,Other priority pathogens,NA,NA,NA,NA
AP-PA02,NA,Non-traditional,Bacteriophages and phage-derived enzymes,Bacteriophage,CF subjects with P. aeruginosa infections,Inhalation,Phase II,NCT04596319,Armata Pharmaceuticals,Priority pathogens,Helicobacter pylori,Other priority pathogens,NA,NA,NA,NA
AP-PA02,NA,Non-traditional,Bacteriophages and phage-derived enzymes,Bacteriophage,CF subjects with P. aeruginosa infections,Inhalation,Phase II,NCT04596319,Armata Pharmaceuticals,Priority pathogens,Gram-positive priority pathogens,Other priority pathogens,NA,NA,NA,NA
AP-PA02,NA,Non-traditional,Bacteriophages and phage-derived enzymes,Bacteriophage,CF subjects with P. aeruginosa infections,Inhalation,Phase II,NCT04596319,Armata Pharmaceuticals,Priority pathogens,Enterococcus faecium,Other priority pathogens,NA,NA,NA,NA
AP-PA02,NA,Non-traditional,Bacteriophages and phage-derived enzymes,Bacteriophage,CF subjects with P. aeruginosa infections,Inhalation,Phase II,NCT04596319,Armata Pharmaceuticals,Priority pathogens,Enterobacterales,Critical priority pathogens,NA,NA,NA,NA
AP-PA02,NA,Non-traditional,Bacteriophages and phage-derived enzymes,Bacteriophage,CF subjects with P. aeruginosa infections,Inhalation,Phase II,NCT04596319,Armata Pharmaceuticals,Priority pathogens,Critical priority pathogens,Critical priority pathogens,Yes,NA,NA,NA
AP-PA02,NA,Non-traditional,Bacteriophages and phage-derived enzymes,Bacteriophage,CF subjects with P. aeruginosa infections,Inhalation,Phase II,NCT04596319,Armata Pharmaceuticals,Priority pathogens,Campylobacter spp.,Other priority pathogens,NA,NA,NA,NA
AP-PA02,NA,Non-traditional,Bacteriophages and phage-derived enzymes,Bacteriophage,CF subjects with P. aeruginosa infections,Inhalation,Phase II,NCT04596319,Armata Pharmaceuticals,Priority pathogens,All critical priority pathogens,Critical priority pathogens,NA,NA,NA,NA
AP-PA02,NA,Non-traditional,Bacteriophages and phage-derived enzymes,Bacteriophage,CF subjects with P. aeruginosa infections,Inhalation,Phase II,NCT04596319,Armata Pharmaceuticals,Priority pathogens,Acinetobacter baumannii,Critical priority pathogens,NA,NA,NA,NA
AR-301,Tosatoxumab,Non-traditional,Antibodies,anti-S. aureus IgM monoclonal Ab,"S. aureus HAP, VAP",IV,Phase III,NCT03816956,"Aridis Pharmaceuticals, Inc.",Priority pathogens,Streptococcus pneumoniae,Other priority pathogens,NA,NA,NA,NA
AR-301,Tosatoxumab,Non-traditional,Antibodies,anti-S. aureus IgM monoclonal Ab,"S. aureus HAP, VAP",IV,Phase III,NCT03816956,"Aridis Pharmaceuticals, Inc.",Priority pathogens,Staphylococcus aureus,Other priority pathogens,Yes,NA,NA,NA
AR-301,Tosatoxumab,Non-traditional,Antibodies,anti-S. aureus IgM monoclonal Ab,"S. aureus HAP, VAP",IV,Phase III,NCT03816956,"Aridis Pharmaceuticals, Inc.",Priority pathogens,Pseudomonas aeruginosa,Critical priority pathogens,NA,NA,NA,NA
AR-301,Tosatoxumab,Non-traditional,Antibodies,anti-S. aureus IgM monoclonal Ab,"S. aureus HAP, VAP",IV,Phase III,NCT03816956,"Aridis Pharmaceuticals, Inc.",Priority pathogens,Other priority pathogens,Other priority pathogens,NA,NA,NA,NA
AR-301,Tosatoxumab,Non-traditional,Antibodies,anti-S. aureus IgM monoclonal Ab,"S. aureus HAP, VAP",IV,Phase III,NCT03816956,"Aridis Pharmaceuticals, Inc.",Priority pathogens,Neisseria gonnorhoeae,Other priority pathogens,NA,NA,NA,NA
AR-301,Tosatoxumab,Non-traditional,Antibodies,anti-S. aureus IgM monoclonal Ab,"S. aureus HAP, VAP",IV,Phase III,NCT03816956,"Aridis Pharmaceuticals, Inc.",Priority pathogens,Helicobacter pylori,Other priority pathogens,NA,NA,NA,NA
AR-301,Tosatoxumab,Non-traditional,Antibodies,anti-S. aureus IgM monoclonal Ab,"S. aureus HAP, VAP",IV,Phase III,NCT03816956,"Aridis Pharmaceuticals, Inc.",Priority pathogens,Gram-positive priority pathogens,Other priority pathogens,Yes,NA,NA,NA
AR-301,Tosatoxumab,Non-traditional,Antibodies,anti-S. aureus IgM monoclonal Ab,"S. aureus HAP, VAP",IV,Phase III,NCT03816956,"Aridis Pharmaceuticals, Inc.",Priority pathogens,Enterococcus faecium,Other priority pathogens,NA,NA,NA,NA
AR-301,Tosatoxumab,Non-traditional,Antibodies,anti-S. aureus IgM monoclonal Ab,"S. aureus HAP, VAP",IV,Phase III,NCT03816956,"Aridis Pharmaceuticals, Inc.",Priority pathogens,Enterobacterales,Critical priority pathogens,NA,NA,NA,NA
AR-301,Tosatoxumab,Non-traditional,Antibodies,anti-S. aureus IgM monoclonal Ab,"S. aureus HAP, VAP",IV,Phase III,NCT03816956,"Aridis Pharmaceuticals, Inc.",Priority pathogens,Critical priority pathogens,Critical priority pathogens,NA,NA,NA,NA
AR-301,Tosatoxumab,Non-traditional,Antibodies,anti-S. aureus IgM monoclonal Ab,"S. aureus HAP, VAP",IV,Phase III,NCT03816956,"Aridis Pharmaceuticals, Inc.",Priority pathogens,Campylobacter spp.,Other priority pathogens,NA,NA,NA,NA
AR-301,Tosatoxumab,Non-traditional,Antibodies,anti-S. aureus IgM monoclonal Ab,"S. aureus HAP, VAP",IV,Phase III,NCT03816956,"Aridis Pharmaceuticals, Inc.",Priority pathogens,All critical priority pathogens,Critical priority pathogens,NA,NA,NA,NA
AR-301,Tosatoxumab,Non-traditional,Antibodies,anti-S. aureus IgM monoclonal Ab,"S. aureus HAP, VAP",IV,Phase III,NCT03816956,"Aridis Pharmaceuticals, Inc.",Priority pathogens,Acinetobacter baumannii,Critical priority pathogens,NA,NA,NA,NA
AR-302,"MEDI-4893, Suvratoxumab",Non-traditional,Antibodies,anti-S. aureus IgG monoclonal Ab,"S. aureus HAP, VAP",IV,Phase II,NCT02296320,Aridis AstraZeneca/ MedImmune,Priority pathogens,Streptococcus pneumoniae,Other priority pathogens,NA,NA,NA,NA
AR-302,"MEDI-4893, Suvratoxumab",Non-traditional,Antibodies,anti-S. aureus IgG monoclonal Ab,"S. aureus HAP, VAP",IV,Phase II,NCT02296320,Aridis AstraZeneca/ MedImmune,Priority pathogens,Staphylococcus aureus,Other priority pathogens,Yes,NA,NA,NA
AR-302,"MEDI-4893, Suvratoxumab",Non-traditional,Antibodies,anti-S. aureus IgG monoclonal Ab,"S. aureus HAP, VAP",IV,Phase II,NCT02296320,Aridis AstraZeneca/ MedImmune,Priority pathogens,Pseudomonas aeruginosa,Critical priority pathogens,NA,NA,NA,NA
AR-302,"MEDI-4893, Suvratoxumab",Non-traditional,Antibodies,anti-S. aureus IgG monoclonal Ab,"S. aureus HAP, VAP",IV,Phase II,NCT02296320,Aridis AstraZeneca/ MedImmune,Priority pathogens,Other priority pathogens,Other priority pathogens,NA,NA,NA,NA
AR-302,"MEDI-4893, Suvratoxumab",Non-traditional,Antibodies,anti-S. aureus IgG monoclonal Ab,"S. aureus HAP, VAP",IV,Phase II,NCT02296320,Aridis AstraZeneca/ MedImmune,Priority pathogens,Neisseria gonnorhoeae,Other priority pathogens,NA,NA,NA,NA
AR-302,"MEDI-4893, Suvratoxumab",Non-traditional,Antibodies,anti-S. aureus IgG monoclonal Ab,"S. aureus HAP, VAP",IV,Phase II,NCT02296320,Aridis AstraZeneca/ MedImmune,Priority pathogens,Helicobacter pylori,Other priority pathogens,NA,NA,NA,NA
AR-302,"MEDI-4893, Suvratoxumab",Non-traditional,Antibodies,anti-S. aureus IgG monoclonal Ab,"S. aureus HAP, VAP",IV,Phase II,NCT02296320,Aridis AstraZeneca/ MedImmune,Priority pathogens,Gram-positive priority pathogens,Other priority pathogens,Yes,NA,NA,NA
AR-302,"MEDI-4893, Suvratoxumab",Non-traditional,Antibodies,anti-S. aureus IgG monoclonal Ab,"S. aureus HAP, VAP",IV,Phase II,NCT02296320,Aridis AstraZeneca/ MedImmune,Priority pathogens,Enterococcus faecium,Other priority pathogens,NA,NA,NA,NA
AR-302,"MEDI-4893, Suvratoxumab",Non-traditional,Antibodies,anti-S. aureus IgG monoclonal Ab,"S. aureus HAP, VAP",IV,Phase II,NCT02296320,Aridis AstraZeneca/ MedImmune,Priority pathogens,Enterobacterales,Critical priority pathogens,NA,NA,NA,NA
AR-302,"MEDI-4893, Suvratoxumab",Non-traditional,Antibodies,anti-S. aureus IgG monoclonal Ab,"S. aureus HAP, VAP",IV,Phase II,NCT02296320,Aridis AstraZeneca/ MedImmune,Priority pathogens,Critical priority pathogens,Critical priority pathogens,NA,NA,NA,NA
AR-302,"MEDI-4893, Suvratoxumab",Non-traditional,Antibodies,anti-S. aureus IgG monoclonal Ab,"S. aureus HAP, VAP",IV,Phase II,NCT02296320,Aridis AstraZeneca/ MedImmune,Priority pathogens,Campylobacter spp.,Other priority pathogens,NA,NA,NA,NA
AR-302,"MEDI-4893, Suvratoxumab",Non-traditional,Antibodies,anti-S. aureus IgG monoclonal Ab,"S. aureus HAP, VAP",IV,Phase II,NCT02296320,Aridis AstraZeneca/ MedImmune,Priority pathogens,All critical priority pathogens,Critical priority pathogens,NA,NA,NA,NA
AR-302,"MEDI-4893, Suvratoxumab",Non-traditional,Antibodies,anti-S. aureus IgG monoclonal Ab,"S. aureus HAP, VAP",IV,Phase II,NCT02296320,Aridis AstraZeneca/ MedImmune,Priority pathogens,Acinetobacter baumannii,Critical priority pathogens,NA,NA,NA,NA
