Data.source	Date.of.update	Alternative.name	Product.type	Antibacterial.class	Indications	Route.of.administration	R.D.phase	Clinical.trials	Developer	Pathogen.category	Pathogen.name	Pathogen.activity	Active.against.priority.pathogens.	Innovative.	NCE.	Mycobacterium.tuberculosis	Clostridioides.difficile	Combined.Categories
WHO AMR pipeline analysis	01 Nov-21	None	Non-traditional	Bacteriophage	Gram positive and Gram negative	Inhalation	Phase III	NCT04682964	"Tashkent Pediatric Medical
Institute"	Priority pathogens	Acinetobacter baumannii	Critical priority pathogens	No	No	Yes	No	Unknown	Bacteriophages and phage-derived enzymes
WHO AMR pipeline analysis	01 Nov-21	None	Non-traditional	Monoclonal antibody	S. aureus	IV	Phase I	NCT04784312	Mabwell Bioscience	Priority pathogens	Streptococcus pneumoniae	Other priority pathogens	No	No	Yes	No	Unknown	Antibodies
WHO AMR pipeline analysis	01 Nov-21	None	Non-traditional	Monoclonal antibody	S. aureus	IV	Phase I	NCT04784312	Mabwell Bioscience	Priority pathogens	Staphylococcus aureus	Other priority pathogens	Yes	No	Yes	No	Unknown	Antibodies
WHO AMR pipeline analysis	01 Nov-21	None	Non-traditional	Monoclonal antibody	S. aureus	IV	Phase I	NCT04784312	Mabwell Bioscience	Priority pathogens	Pseudomonas aeruginosa	Critical priority pathogens	No	No	Yes	No	Unknown	Antibodies
WHO AMR pipeline analysis	01 Nov-21	None	Non-traditional	Monoclonal antibody	S. aureus	IV	Phase I	NCT04784312	Mabwell Bioscience	Priority pathogens	Other priority pathogens	Other priority pathogens	Yes	No	Yes	No	Unknown	Antibodies
WHO AMR pipeline analysis	01 Nov-21	None	Non-traditional	Monoclonal antibody	S. aureus	IV	Phase I	NCT04784312	Mabwell Bioscience	Priority pathogens	Neisseria gonnorhoeae	Other priority pathogens	No	No	Yes	No	Unknown	Antibodies
WHO AMR pipeline analysis	01 Nov-21	None	Non-traditional	Monoclonal antibody	S. aureus	IV	Phase I	NCT04784312	Mabwell Bioscience	Priority pathogens	Helicobacter pylori	Other priority pathogens	No	No	Yes	No	Unknown	Antibodies
WHO AMR pipeline analysis	01 Nov-21	None	Non-traditional	Monoclonal antibody	S. aureus	IV	Phase I	NCT04784312	Mabwell Bioscience	Priority pathogens	Gram-positive priority pathogens	Other priority pathogens	Yes	No	Yes	No	Unknown	Antibodies
WHO AMR pipeline analysis	01 Nov-21	None	Non-traditional	Monoclonal antibody	S. aureus	IV	Phase I	NCT04784312	Mabwell Bioscience	Priority pathogens	Enterococcus faecium	Other priority pathogens	No	No	Yes	No	Unknown	Antibodies
WHO AMR pipeline analysis	01 Nov-21	None	Non-traditional	Monoclonal antibody	S. aureus	IV	Phase I	NCT04784312	Mabwell Bioscience	Priority pathogens	Enterobacterales	Critical priority pathogens	No	No	Yes	No	Unknown	Antibodies
WHO AMR pipeline analysis	01 Nov-21	None	Non-traditional	Monoclonal antibody	S. aureus	IV	Phase I	NCT04784312	Mabwell Bioscience	Priority pathogens	Critical priority pathogens	Critical priority pathogens	No	No	Yes	No	Unknown	Antibodies
WHO AMR pipeline analysis	01 Nov-21	None	Non-traditional	Monoclonal antibody	S. aureus	IV	Phase I	NCT04784312	Mabwell Bioscience	Priority pathogens	Campylobacter spp.	Other priority pathogens	No	No	Yes	No	Unknown	Antibodies
WHO AMR pipeline analysis	01 Nov-21	None	Non-traditional	Monoclonal antibody	S. aureus	IV	Phase I	NCT04784312	Mabwell Bioscience	Priority pathogens	All critical priority pathogens	Critical priority pathogens	No	No	Yes	No	Unknown	Antibodies
WHO AMR pipeline analysis	01 Nov-21	None	Non-traditional	Monoclonal antibody	S. aureus	IV	Phase I	NCT04784312	Mabwell Bioscience	Priority pathogens	Acinetobacter baumannii	Critical priority pathogens	No	No	Yes	No	Unknown	Antibodies
WHO AMR pipeline analysis	01 Nov-21	Reltecimod	Non-traditional	Antagonist of superantigen exotoxins and CD28 T-cell	S. aureus necrotizing soft tissue infection, acute kidney injury, peritonitis	IV	Preregistration	NCT02469857, NCT03403751	Atox Bio	Priority pathogens	Streptococcus pneumoniae	Other priority pathogens	No	No	Yes	No	Unknown	Immunomodulating agents
WHO AMR pipeline analysis	01 Nov-21	Reltecimod	Non-traditional	Antagonist of superantigen exotoxins and CD28 T-cell	S. aureus necrotizing soft tissue infection, acute kidney injury, peritonitis	IV	Preregistration	NCT02469857, NCT03403751	Atox Bio	Priority pathogens	Staphylococcus aureus	Other priority pathogens	Yes	No	Yes	No	Unknown	Immunomodulating agents
WHO AMR pipeline analysis	01 Nov-21	Reltecimod	Non-traditional	Antagonist of superantigen exotoxins and CD28 T-cell	S. aureus necrotizing soft tissue infection, acute kidney injury, peritonitis	IV	Preregistration	NCT02469857, NCT03403751	Atox Bio	Priority pathogens	Pseudomonas aeruginosa	Critical priority pathogens	No	No	Yes	No	Unknown	Immunomodulating agents
WHO AMR pipeline analysis	01 Nov-21	Reltecimod	Non-traditional	Antagonist of superantigen exotoxins and CD28 T-cell	S. aureus necrotizing soft tissue infection, acute kidney injury, peritonitis	IV	Preregistration	NCT02469857, NCT03403751	Atox Bio	Priority pathogens	Other priority pathogens	Other priority pathogens	Yes	No	Yes	No	Unknown	Immunomodulating agents
WHO AMR pipeline analysis	01 Nov-21	Reltecimod	Non-traditional	Antagonist of superantigen exotoxins and CD28 T-cell	S. aureus necrotizing soft tissue infection, acute kidney injury, peritonitis	IV	Preregistration	NCT02469857, NCT03403751	Atox Bio	Priority pathogens	Neisseria gonnorhoeae	Other priority pathogens	No	No	Yes	No	Unknown	Immunomodulating agents
WHO AMR pipeline analysis	01 Nov-21	Reltecimod	Non-traditional	Antagonist of superantigen exotoxins and CD28 T-cell	S. aureus necrotizing soft tissue infection, acute kidney injury, peritonitis	IV	Preregistration	NCT02469857, NCT03403751	Atox Bio	Priority pathogens	Helicobacter pylori	Other priority pathogens	No	No	Yes	No	Unknown	Immunomodulating agents
WHO AMR pipeline analysis	01 Nov-21	Reltecimod	Non-traditional	Antagonist of superantigen exotoxins and CD28 T-cell	S. aureus necrotizing soft tissue infection, acute kidney injury, peritonitis	IV	Preregistration	NCT02469857, NCT03403751	Atox Bio	Priority pathogens	Gram-positive priority pathogens	Other priority pathogens	Yes	No	Yes	No	Unknown	Immunomodulating agents
WHO AMR pipeline analysis	01 Nov-21	Reltecimod	Non-traditional	Antagonist of superantigen exotoxins and CD28 T-cell	S. aureus necrotizing soft tissue infection, acute kidney injury, peritonitis	IV	Preregistration	NCT02469857, NCT03403751	Atox Bio	Priority pathogens	Enterococcus faecium	Other priority pathogens	No	No	Yes	No	Unknown	Immunomodulating agents
WHO AMR pipeline analysis	01 Nov-21	Reltecimod	Non-traditional	Antagonist of superantigen exotoxins and CD28 T-cell	S. aureus necrotizing soft tissue infection, acute kidney injury, peritonitis	IV	Preregistration	NCT02469857, NCT03403751	Atox Bio	Priority pathogens	Enterobacterales	Critical priority pathogens	No	No	Yes	No	Unknown	Immunomodulating agents
WHO AMR pipeline analysis	01 Nov-21	Reltecimod	Non-traditional	Antagonist of superantigen exotoxins and CD28 T-cell	S. aureus necrotizing soft tissue infection, acute kidney injury, peritonitis	IV	Preregistration	NCT02469857, NCT03403751	Atox Bio	Priority pathogens	Critical priority pathogens	Critical priority pathogens	No	No	Yes	No	Unknown	Immunomodulating agents
WHO AMR pipeline analysis	01 Nov-21	Reltecimod	Non-traditional	Antagonist of superantigen exotoxins and CD28 T-cell	S. aureus necrotizing soft tissue infection, acute kidney injury, peritonitis	IV	Preregistration	NCT02469857, NCT03403751	Atox Bio	Priority pathogens	Campylobacter spp.	Other priority pathogens	No	No	Yes	No	Unknown	Immunomodulating agents
WHO AMR pipeline analysis	01 Nov-21	Reltecimod	Non-traditional	Antagonist of superantigen exotoxins and CD28 T-cell	S. aureus necrotizing soft tissue infection, acute kidney injury, peritonitis	IV	Preregistration	NCT02469857, NCT03403751	Atox Bio	Priority pathogens	All critical priority pathogens	Critical priority pathogens	No	No	Yes	No	Unknown	Immunomodulating agents
WHO AMR pipeline analysis	01 Nov-21	Reltecimod	Non-traditional	Antagonist of superantigen exotoxins and CD28 T-cell	S. aureus necrotizing soft tissue infection, acute kidney injury, peritonitis	IV	Preregistration	NCT02469857, NCT03403751	Atox Bio	Priority pathogens	Acinetobacter baumannii	Critical priority pathogens	No	No	Yes	No	Unknown	Immunomodulating agents
WHO AMR pipeline analysis	01 Nov-21	Debio 1450	Antibiotics	FabI inhibitor	ABSSI (caused by S. aureus), osteomyelitis	IV, Oral	Phase II	NCT02426918, NCT03723551	Debiopharm International SA	Priority pathogens	Streptococcus pneumoniae	Other priority pathogens	No	Yes	Yes	No	Unknown	Afabicin
WHO AMR pipeline analysis	01 Nov-21	Debio 1450	Antibiotics	FabI inhibitor	ABSSI (caused by S. aureus), osteomyelitis	IV, Oral	Phase II	NCT02426918, NCT03723551	Debiopharm International SA	Priority pathogens	Staphylococcus aureus	Other priority pathogens	Yes	Yes	Yes	No	Unknown	Afabicin
WHO AMR pipeline analysis	01 Nov-21	Debio 1450	Antibiotics	FabI inhibitor	ABSSI (caused by S. aureus), osteomyelitis	IV, Oral	Phase II	NCT02426918, NCT03723551	Debiopharm International SA	Priority pathogens	Pseudomonas aeruginosa	Critical priority pathogens	No	Yes	Yes	No	Unknown	Afabicin
WHO AMR pipeline analysis	01 Nov-21	Debio 1450	Antibiotics	FabI inhibitor	ABSSI (caused by S. aureus), osteomyelitis	IV, Oral	Phase II	NCT02426918, NCT03723551	Debiopharm International SA	Priority pathogens	Other priority pathogens	Other priority pathogens	Yes	Yes	Yes	No	Unknown	Afabicin
WHO AMR pipeline analysis	01 Nov-21	Debio 1450	Antibiotics	FabI inhibitor	ABSSI (caused by S. aureus), osteomyelitis	IV, Oral	Phase II	NCT02426918, NCT03723551	Debiopharm International SA	Priority pathogens	Neisseria gonnorhoeae	Other priority pathogens	No	Yes	Yes	No	Unknown	Afabicin
WHO AMR pipeline analysis	01 Nov-21	Debio 1450	Antibiotics	FabI inhibitor	ABSSI (caused by S. aureus), osteomyelitis	IV, Oral	Phase II	NCT02426918, NCT03723551	Debiopharm International SA	Priority pathogens	Helicobacter pylori	Other priority pathogens	No	Yes	Yes	No	Unknown	Afabicin
WHO AMR pipeline analysis	01 Nov-21	Debio 1450	Antibiotics	FabI inhibitor	ABSSI (caused by S. aureus), osteomyelitis	IV, Oral	Phase II	NCT02426918, NCT03723551	Debiopharm International SA	Priority pathogens	Gram-positive priority pathogens	Other priority pathogens	Yes	Yes	Yes	No	Unknown	Afabicin
WHO AMR pipeline analysis	01 Nov-21	Debio 1450	Antibiotics	FabI inhibitor	ABSSI (caused by S. aureus), osteomyelitis	IV, Oral	Phase II	NCT02426918, NCT03723551	Debiopharm International SA	Priority pathogens	Enterococcus faecium	Other priority pathogens	No	Yes	Yes	No	Unknown	Afabicin
WHO AMR pipeline analysis	01 Nov-21	Debio 1450	Antibiotics	FabI inhibitor	ABSSI (caused by S. aureus), osteomyelitis	IV, Oral	Phase II	NCT02426918, NCT03723551	Debiopharm International SA	Priority pathogens	Enterobacterales	Critical priority pathogens	No	Yes	Yes	No	Unknown	Afabicin
WHO AMR pipeline analysis	01 Nov-21	Debio 1450	Antibiotics	FabI inhibitor	ABSSI (caused by S. aureus), osteomyelitis	IV, Oral	Phase II	NCT02426918, NCT03723551	Debiopharm International SA	Priority pathogens	Critical priority pathogens	Critical priority pathogens	No	Yes	Yes	No	Unknown	Afabicin
WHO AMR pipeline analysis	01 Nov-21	Debio 1450	Antibiotics	FabI inhibitor	ABSSI (caused by S. aureus), osteomyelitis	IV, Oral	Phase II	NCT02426918, NCT03723551	Debiopharm International SA	Priority pathogens	Campylobacter spp.	Other priority pathogens	No	Yes	Yes	No	Unknown	Afabicin
WHO AMR pipeline analysis	01 Nov-21	Debio 1450	Antibiotics	FabI inhibitor	ABSSI (caused by S. aureus), osteomyelitis	IV, Oral	Phase II	NCT02426918, NCT03723551	Debiopharm International SA	Priority pathogens	All critical priority pathogens	Critical priority pathogens	No	Yes	Yes	No	Unknown	Afabicin
WHO AMR pipeline analysis	01 Nov-21	Debio 1450	Antibiotics	FabI inhibitor	ABSSI (caused by S. aureus), osteomyelitis	IV, Oral	Phase II	NCT02426918, NCT03723551	Debiopharm International SA	Priority pathogens	Acinetobacter baumannii	Critical priority pathogens	No	Yes	Yes	No	Unknown	Afabicin
WHO AMR pipeline analysis	01 Nov-21	None	Non-traditional	Staphyloxanthin biosynthesis inhibition	S. aureus	Oral	Phase I	Not registered	Aptorum Group	Priority pathogens	Streptococcus pneumoniae	Other priority pathogens	No	No	Yes	No	Unknown	Miscellaneous
WHO AMR pipeline analysis	01 Nov-21	None	Non-traditional	Staphyloxanthin biosynthesis inhibition	S. aureus	Oral	Phase I	Not registered	Aptorum Group	Priority pathogens	Staphylococcus aureus	Other priority pathogens	Yes	No	Yes	No	Unknown	Miscellaneous
WHO AMR pipeline analysis	01 Nov-21	None	Non-traditional	Staphyloxanthin biosynthesis inhibition	S. aureus	Oral	Phase I	Not registered	Aptorum Group	Priority pathogens	Pseudomonas aeruginosa	Critical priority pathogens	No	No	Yes	No	Unknown	Miscellaneous
WHO AMR pipeline analysis	01 Nov-21	None	Non-traditional	Staphyloxanthin biosynthesis inhibition	S. aureus	Oral	Phase I	Not registered	Aptorum Group	Priority pathogens	Other priority pathogens	Other priority pathogens	Yes	No	Yes	No	Unknown	Miscellaneous
WHO AMR pipeline analysis	01 Nov-21	None	Non-traditional	Staphyloxanthin biosynthesis inhibition	S. aureus	Oral	Phase I	Not registered	Aptorum Group	Priority pathogens	Neisseria gonnorhoeae	Other priority pathogens	No	No	Yes	No	Unknown	Miscellaneous
WHO AMR pipeline analysis	01 Nov-21	None	Non-traditional	Staphyloxanthin biosynthesis inhibition	S. aureus	Oral	Phase I	Not registered	Aptorum Group	Priority pathogens	Helicobacter pylori	Other priority pathogens	No	No	Yes	No	Unknown	Miscellaneous
WHO AMR pipeline analysis	01 Nov-21	None	Non-traditional	Staphyloxanthin biosynthesis inhibition	S. aureus	Oral	Phase I	Not registered	Aptorum Group	Priority pathogens	Gram-positive priority pathogens	Other priority pathogens	Yes	No	Yes	No	Unknown	Miscellaneous
WHO AMR pipeline analysis	01 Nov-21	None	Non-traditional	Staphyloxanthin biosynthesis inhibition	S. aureus	Oral	Phase I	Not registered	Aptorum Group	Priority pathogens	Enterococcus faecium	Other priority pathogens	No	No	Yes	No	Unknown	Miscellaneous
WHO AMR pipeline analysis	01 Nov-21	None	Non-traditional	Staphyloxanthin biosynthesis inhibition	S. aureus	Oral	Phase I	Not registered	Aptorum Group	Priority pathogens	Enterobacterales	Critical priority pathogens	No	No	Yes	No	Unknown	Miscellaneous
WHO AMR pipeline analysis	01 Nov-21	None	Non-traditional	Staphyloxanthin biosynthesis inhibition	S. aureus	Oral	Phase I	Not registered	Aptorum Group	Priority pathogens	Critical priority pathogens	Critical priority pathogens	No	No	Yes	No	Unknown	Miscellaneous
WHO AMR pipeline analysis	01 Nov-21	None	Non-traditional	Staphyloxanthin biosynthesis inhibition	S. aureus	Oral	Phase I	Not registered	Aptorum Group	Priority pathogens	Campylobacter spp.	Other priority pathogens	No	No	Yes	No	Unknown	Miscellaneous
WHO AMR pipeline analysis	01 Nov-21	None	Non-traditional	Staphyloxanthin biosynthesis inhibition	S. aureus	Oral	Phase I	Not registered	Aptorum Group	Priority pathogens	All critical priority pathogens	Critical priority pathogens	No	No	Yes	No	Unknown	Miscellaneous
WHO AMR pipeline analysis	01 Nov-21	None	Non-traditional	Staphyloxanthin biosynthesis inhibition	S. aureus	Oral	Phase I	Not registered	Aptorum Group	Priority pathogens	Acinetobacter baumannii	Critical priority pathogens	No	No	Yes	No	Unknown	Miscellaneous
WHO AMR pipeline analysis	01 Nov-21	None	Non-traditional	Bacteriophage	CF subjects with P. aeruginosa infections	Inhalation	Phase II	NCT04596319	Armata Pharmaceuticals	Priority pathogens	Streptococcus pneumoniae	Other priority pathogens	No	No	Yes	No	Unknown	Bacteriophages and phage-derived enzymes
WHO AMR pipeline analysis	01 Nov-21	None	Non-traditional	Bacteriophage	CF subjects with P. aeruginosa infections	Inhalation	Phase II	NCT04596319	Armata Pharmaceuticals	Priority pathogens	Staphylococcus aureus	Other priority pathogens	No	No	Yes	No	Unknown	Bacteriophages and phage-derived enzymes
WHO AMR pipeline analysis	01 Nov-21	None	Non-traditional	Bacteriophage	CF subjects with P. aeruginosa infections	Inhalation	Phase II	NCT04596319	Armata Pharmaceuticals	Priority pathogens	Pseudomonas aeruginosa	Critical priority pathogens	Yes	No	Yes	No	Unknown	Bacteriophages and phage-derived enzymes
WHO AMR pipeline analysis	01 Nov-21	None	Non-traditional	Bacteriophage	CF subjects with P. aeruginosa infections	Inhalation	Phase II	NCT04596319	Armata Pharmaceuticals	Priority pathogens	Other priority pathogens	Other priority pathogens	No	No	Yes	No	Unknown	Bacteriophages and phage-derived enzymes
WHO AMR pipeline analysis	01 Nov-21	None	Non-traditional	Bacteriophage	CF subjects with P. aeruginosa infections	Inhalation	Phase II	NCT04596319	Armata Pharmaceuticals	Priority pathogens	Neisseria gonnorhoeae	Other priority pathogens	No	No	Yes	No	Unknown	Bacteriophages and phage-derived enzymes
WHO AMR pipeline analysis	01 Nov-21	None	Non-traditional	Bacteriophage	CF subjects with P. aeruginosa infections	Inhalation	Phase II	NCT04596319	Armata Pharmaceuticals	Priority pathogens	Helicobacter pylori	Other priority pathogens	No	No	Yes	No	Unknown	Bacteriophages and phage-derived enzymes
WHO AMR pipeline analysis	01 Nov-21	None	Non-traditional	Bacteriophage	CF subjects with P. aeruginosa infections	Inhalation	Phase II	NCT04596319	Armata Pharmaceuticals	Priority pathogens	Gram-positive priority pathogens	Other priority pathogens	No	No	Yes	No	Unknown	Bacteriophages and phage-derived enzymes
WHO AMR pipeline analysis	01 Nov-21	None	Non-traditional	Bacteriophage	CF subjects with P. aeruginosa infections	Inhalation	Phase II	NCT04596319	Armata Pharmaceuticals	Priority pathogens	Enterococcus faecium	Other priority pathogens	No	No	Yes	No	Unknown	Bacteriophages and phage-derived enzymes
WHO AMR pipeline analysis	01 Nov-21	None	Non-traditional	Bacteriophage	CF subjects with P. aeruginosa infections	Inhalation	Phase II	NCT04596319	Armata Pharmaceuticals	Priority pathogens	Enterobacterales	Critical priority pathogens	No	No	Yes	No	Unknown	Bacteriophages and phage-derived enzymes
WHO AMR pipeline analysis	01 Nov-21	None	Non-traditional	Bacteriophage	CF subjects with P. aeruginosa infections	Inhalation	Phase II	NCT04596319	Armata Pharmaceuticals	Priority pathogens	Critical priority pathogens	Critical priority pathogens	Yes	No	Yes	No	Unknown	Bacteriophages and phage-derived enzymes
WHO AMR pipeline analysis	01 Nov-21	None	Non-traditional	Bacteriophage	CF subjects with P. aeruginosa infections	Inhalation	Phase II	NCT04596319	Armata Pharmaceuticals	Priority pathogens	Campylobacter spp.	Other priority pathogens	No	No	Yes	No	Unknown	Bacteriophages and phage-derived enzymes
WHO AMR pipeline analysis	01 Nov-21	None	Non-traditional	Bacteriophage	CF subjects with P. aeruginosa infections	Inhalation	Phase II	NCT04596319	Armata Pharmaceuticals	Priority pathogens	All critical priority pathogens	Critical priority pathogens	No	No	Yes	No	Unknown	Bacteriophages and phage-derived enzymes
WHO AMR pipeline analysis	01 Nov-21	None	Non-traditional	Bacteriophage	CF subjects with P. aeruginosa infections	Inhalation	Phase II	NCT04596319	Armata Pharmaceuticals	Priority pathogens	Acinetobacter baumannii	Critical priority pathogens	No	No	Yes	No	Unknown	Bacteriophages and phage-derived enzymes
WHO AMR pipeline analysis	01 Nov-21	Tosatoxumab	Non-traditional	anti-S. aureus IgM monoclonal Ab	S. aureus HAP, VAP	IV	Phase III	NCT03816956	Aridis Pharmaceuticals, Inc.	Priority pathogens	Streptococcus pneumoniae	Other priority pathogens	No	No	Yes	No	Unknown	Antibodies
WHO AMR pipeline analysis	01 Nov-21	Tosatoxumab	Non-traditional	anti-S. aureus IgM monoclonal Ab	S. aureus HAP, VAP	IV	Phase III	NCT03816956	Aridis Pharmaceuticals, Inc.	Priority pathogens	Staphylococcus aureus	Other priority pathogens	Yes	No	Yes	No	Unknown	Antibodies
WHO AMR pipeline analysis	01 Nov-21	Tosatoxumab	Non-traditional	anti-S. aureus IgM monoclonal Ab	S. aureus HAP, VAP	IV	Phase III	NCT03816956	Aridis Pharmaceuticals, Inc.	Priority pathogens	Pseudomonas aeruginosa	Critical priority pathogens	No	No	Yes	No	Unknown	Antibodies
WHO AMR pipeline analysis	01 Nov-21	Tosatoxumab	Non-traditional	anti-S. aureus IgM monoclonal Ab	S. aureus HAP, VAP	IV	Phase III	NCT03816956	Aridis Pharmaceuticals, Inc.	Priority pathogens	Other priority pathogens	Other priority pathogens	No	No	Yes	No	Unknown	Antibodies
WHO AMR pipeline analysis	01 Nov-21	Tosatoxumab	Non-traditional	anti-S. aureus IgM monoclonal Ab	S. aureus HAP, VAP	IV	Phase III	NCT03816956	Aridis Pharmaceuticals, Inc.	Priority pathogens	Neisseria gonnorhoeae	Other priority pathogens	No	No	Yes	No	Unknown	Antibodies
WHO AMR pipeline analysis	01 Nov-21	Tosatoxumab	Non-traditional	anti-S. aureus IgM monoclonal Ab	S. aureus HAP, VAP	IV	Phase III	NCT03816956	Aridis Pharmaceuticals, Inc.	Priority pathogens	Helicobacter pylori	Other priority pathogens	No	No	Yes	No	Unknown	Antibodies
WHO AMR pipeline analysis	01 Nov-21	Tosatoxumab	Non-traditional	anti-S. aureus IgM monoclonal Ab	S. aureus HAP, VAP	IV	Phase III	NCT03816956	Aridis Pharmaceuticals, Inc.	Priority pathogens	Gram-positive priority pathogens	Other priority pathogens	Yes	No	Yes	No	Unknown	Antibodies
WHO AMR pipeline analysis	01 Nov-21	Tosatoxumab	Non-traditional	anti-S. aureus IgM monoclonal Ab	S. aureus HAP, VAP	IV	Phase III	NCT03816956	Aridis Pharmaceuticals, Inc.	Priority pathogens	Enterococcus faecium	Other priority pathogens	No	No	Yes	No	Unknown	Antibodies
WHO AMR pipeline analysis	01 Nov-21	Tosatoxumab	Non-traditional	anti-S. aureus IgM monoclonal Ab	S. aureus HAP, VAP	IV	Phase III	NCT03816956	Aridis Pharmaceuticals, Inc.	Priority pathogens	Enterobacterales	Critical priority pathogens	No	No	Yes	No	Unknown	Antibodies
WHO AMR pipeline analysis	01 Nov-21	Tosatoxumab	Non-traditional	anti-S. aureus IgM monoclonal Ab	S. aureus HAP, VAP	IV	Phase III	NCT03816956	Aridis Pharmaceuticals, Inc.	Priority pathogens	Critical priority pathogens	Critical priority pathogens	No	No	Yes	No	Unknown	Antibodies
WHO AMR pipeline analysis	01 Nov-21	Tosatoxumab	Non-traditional	anti-S. aureus IgM monoclonal Ab	S. aureus HAP, VAP	IV	Phase III	NCT03816956	Aridis Pharmaceuticals, Inc.	Priority pathogens	Campylobacter spp.	Other priority pathogens	No	No	Yes	No	Unknown	Antibodies
WHO AMR pipeline analysis	01 Nov-21	Tosatoxumab	Non-traditional	anti-S. aureus IgM monoclonal Ab	S. aureus HAP, VAP	IV	Phase III	NCT03816956	Aridis Pharmaceuticals, Inc.	Priority pathogens	All critical priority pathogens	Critical priority pathogens	No	No	Yes	No	Unknown	Antibodies
WHO AMR pipeline analysis	01 Nov-21	Tosatoxumab	Non-traditional	anti-S. aureus IgM monoclonal Ab	S. aureus HAP, VAP	IV	Phase III	NCT03816956	Aridis Pharmaceuticals, Inc.	Priority pathogens	Acinetobacter baumannii	Critical priority pathogens	No	No	Yes	No	Unknown	Antibodies
