	Data.source	Date.of.update	Alternative.name	Product.type	Antibacterial.class	Indications	Route.of.administration	R.D.phase	Clinical.trials	Developer	Pathogen.category	Pathogen.name	Pathogen.activity	Active.against.priority.pathogens.	Innovative.	NCE.	Mycobacterium.tuberculosis	Clostridioides.difficile	Combined.Categories
28	WHO AMR pipeline analysis	2021-11-01	Reltecimod	Non-traditional	Antagonist of superantigen exotoxins and CD28 T-cell	S. aureus necrotizing soft tissue infection, acute kidney injury, peritonitis	IV	Preregistration	NCT02469857, NCT03403751	Atox Bio	Priority pathogens	Pseudomonas aeruginosa	Critical priority pathogens	No	No	Yes	No	Unknown	Immunomodulating agents
29	WHO AMR pipeline analysis	2021-11-01	Reltecimod	Non-traditional	Antagonist of superantigen exotoxins and CD28 T-cell	S. aureus necrotizing soft tissue infection, acute kidney injury, peritonitis	IV	Preregistration	NCT02469857, NCT03403751	Atox Bio	Priority pathogens	Other priority pathogens	Other priority pathogens	Yes	No	Yes	No	Unknown	Immunomodulating agents
30	WHO AMR pipeline analysis	2021-11-01	Reltecimod	Non-traditional	Antagonist of superantigen exotoxins and CD28 T-cell	S. aureus necrotizing soft tissue infection, acute kidney injury, peritonitis	IV	Preregistration	NCT02469857, NCT03403751	Atox Bio	Priority pathogens	Neisseria gonnorhoeae	Other priority pathogens	No	No	Yes	No	Unknown	Immunomodulating agents
31	WHO AMR pipeline analysis	2021-11-01	Reltecimod	Non-traditional	Antagonist of superantigen exotoxins and CD28 T-cell	S. aureus necrotizing soft tissue infection, acute kidney injury, peritonitis	IV	Preregistration	NCT02469857, NCT03403751	Atox Bio	Priority pathogens	Helicobacter pylori	Other priority pathogens	No	No	Yes	No	Unknown	Immunomodulating agents
32	WHO AMR pipeline analysis	2021-11-01	Reltecimod	Non-traditional	Antagonist of superantigen exotoxins and CD28 T-cell	S. aureus necrotizing soft tissue infection, acute kidney injury, peritonitis	IV	Preregistration	NCT02469857, NCT03403751	Atox Bio	Priority pathogens	Gram-positive priority pathogens	Other priority pathogens	Yes	No	Yes	No	Unknown	Immunomodulating agents
33	WHO AMR pipeline analysis	2021-11-01	Reltecimod	Non-traditional	Antagonist of superantigen exotoxins and CD28 T-cell	S. aureus necrotizing soft tissue infection, acute kidney injury, peritonitis	IV	Preregistration	NCT02469857, NCT03403751	Atox Bio	Priority pathogens	Enterococcus faecium	Other priority pathogens	No	No	Yes	No	Unknown	Immunomodulating agents
34	WHO AMR pipeline analysis	2021-11-01	Reltecimod	Non-traditional	Antagonist of superantigen exotoxins and CD28 T-cell	S. aureus necrotizing soft tissue infection, acute kidney injury, peritonitis	IV	Preregistration	NCT02469857, NCT03403751	Atox Bio	Priority pathogens	Enterobacterales	Critical priority pathogens	No	No	Yes	No	Unknown	Immunomodulating agents
35	WHO AMR pipeline analysis	2021-11-01	Reltecimod	Non-traditional	Antagonist of superantigen exotoxins and CD28 T-cell	S. aureus necrotizing soft tissue infection, acute kidney injury, peritonitis	IV	Preregistration	NCT02469857, NCT03403751	Atox Bio	Priority pathogens	Critical priority pathogens	Critical priority pathogens	No	No	Yes	No	Unknown	Immunomodulating agents
36	WHO AMR pipeline analysis	2021-11-01	Reltecimod	Non-traditional	Antagonist of superantigen exotoxins and CD28 T-cell	S. aureus necrotizing soft tissue infection, acute kidney injury, peritonitis	IV	Preregistration	NCT02469857, NCT03403751	Atox Bio	Priority pathogens	Campylobacter spp.	Other priority pathogens	No	No	Yes	No	Unknown	Immunomodulating agents
37	WHO AMR pipeline analysis	2021-11-01	Reltecimod	Non-traditional	Antagonist of superantigen exotoxins and CD28 T-cell	S. aureus necrotizing soft tissue infection, acute kidney injury, peritonitis	IV	Preregistration	NCT02469857, NCT03403751	Atox Bio	Priority pathogens	All critical priority pathogens	Critical priority pathogens	No	No	Yes	No	Unknown	Immunomodulating agents
38	WHO AMR pipeline analysis	2021-11-01	Reltecimod	Non-traditional	Antagonist of superantigen exotoxins and CD28 T-cell	S. aureus necrotizing soft tissue infection, acute kidney injury, peritonitis	IV	Preregistration	NCT02469857, NCT03403751	Atox Bio	Priority pathogens	Acinetobacter baumannii	Critical priority pathogens	No	No	Yes	No	Unknown	Immunomodulating agents
39	WHO AMR pipeline analysis	2021-11-01	Debio 1450	Antibiotics	FabI inhibitor	ABSSI (caused by S. aureus), osteomyelitis	IV, Oral	Phase II	NCT02426918, NCT03723551	Debiopharm International SA	Priority pathogens	Streptococcus pneumoniae	Other priority pathogens	No	Yes	Yes	No	Unknown	Afabicin
40	WHO AMR pipeline analysis	2021-11-01	Debio 1450	Antibiotics	FabI inhibitor	ABSSI (caused by S. aureus), osteomyelitis	IV, Oral	Phase II	NCT02426918, NCT03723551	Debiopharm International SA	Priority pathogens	Staphylococcus aureus	Other priority pathogens	Yes	Yes	Yes	No	Unknown	Afabicin
41	WHO AMR pipeline analysis	2021-11-01	Debio 1450	Antibiotics	FabI inhibitor	ABSSI (caused by S. aureus), osteomyelitis	IV, Oral	Phase II	NCT02426918, NCT03723551	Debiopharm International SA	Priority pathogens	Pseudomonas aeruginosa	Critical priority pathogens	No	Yes	Yes	No	Unknown	Afabicin
42	WHO AMR pipeline analysis	2021-11-01	Debio 1450	Antibiotics	FabI inhibitor	ABSSI (caused by S. aureus), osteomyelitis	IV, Oral	Phase II	NCT02426918, NCT03723551	Debiopharm International SA	Priority pathogens	Other priority pathogens	Other priority pathogens	Yes	Yes	Yes	No	Unknown	Afabicin
43	WHO AMR pipeline analysis	2021-11-01	Debio 1450	Antibiotics	FabI inhibitor	ABSSI (caused by S. aureus), osteomyelitis	IV, Oral	Phase II	NCT02426918, NCT03723551	Debiopharm International SA	Priority pathogens	Neisseria gonnorhoeae	Other priority pathogens	No	Yes	Yes	No	Unknown	Afabicin
44	WHO AMR pipeline analysis	2021-11-01	Debio 1450	Antibiotics	FabI inhibitor	ABSSI (caused by S. aureus), osteomyelitis	IV, Oral	Phase II	NCT02426918, NCT03723551	Debiopharm International SA	Priority pathogens	Helicobacter pylori	Other priority pathogens	No	Yes	Yes	No	Unknown	Afabicin
45	WHO AMR pipeline analysis	2021-11-01	Debio 1450	Antibiotics	FabI inhibitor	ABSSI (caused by S. aureus), osteomyelitis	IV, Oral	Phase II	NCT02426918, NCT03723551	Debiopharm International SA	Priority pathogens	Gram-positive priority pathogens	Other priority pathogens	Yes	Yes	Yes	No	Unknown	Afabicin
46	WHO AMR pipeline analysis	2021-11-01	Debio 1450	Antibiotics	FabI inhibitor	ABSSI (caused by S. aureus), osteomyelitis	IV, Oral	Phase II	NCT02426918, NCT03723551	Debiopharm International SA	Priority pathogens	Enterococcus faecium	Other priority pathogens	No	Yes	Yes	No	Unknown	Afabicin
47	WHO AMR pipeline analysis	2021-11-01	Debio 1450	Antibiotics	FabI inhibitor	ABSSI (caused by S. aureus), osteomyelitis	IV, Oral	Phase II	NCT02426918, NCT03723551	Debiopharm International SA	Priority pathogens	Enterobacterales	Critical priority pathogens	No	Yes	Yes	No	Unknown	Afabicin
48	WHO AMR pipeline analysis	2021-11-01	Debio 1450	Antibiotics	FabI inhibitor	ABSSI (caused by S. aureus), osteomyelitis	IV, Oral	Phase II	NCT02426918, NCT03723551	Debiopharm International SA	Priority pathogens	Critical priority pathogens	Critical priority pathogens	No	Yes	Yes	No	Unknown	Afabicin
49	WHO AMR pipeline analysis	2021-11-01	Debio 1450	Antibiotics	FabI inhibitor	ABSSI (caused by S. aureus), osteomyelitis	IV, Oral	Phase II	NCT02426918, NCT03723551	Debiopharm International SA	Priority pathogens	Campylobacter spp.	Other priority pathogens	No	Yes	Yes	No	Unknown	Afabicin
50	WHO AMR pipeline analysis	2021-11-01	Debio 1450	Antibiotics	FabI inhibitor	ABSSI (caused by S. aureus), osteomyelitis	IV, Oral	Phase II	NCT02426918, NCT03723551	Debiopharm International SA	Priority pathogens	All critical priority pathogens	Critical priority pathogens	No	Yes	Yes	No	Unknown	Afabicin
51	WHO AMR pipeline analysis	2021-11-01	Debio 1450	Antibiotics	FabI inhibitor	ABSSI (caused by S. aureus), osteomyelitis	IV, Oral	Phase II	NCT02426918, NCT03723551	Debiopharm International SA	Priority pathogens	Acinetobacter baumannii	Critical priority pathogens	No	Yes	Yes	No	Unknown	Afabicin
52	WHO AMR pipeline analysis	2021-11-01		Non-traditional	Staphyloxanthin biosynthesis inhibition	S. aureus	Oral	Phase I	Not registered	Aptorum Group	Priority pathogens	Streptococcus pneumoniae	Other priority pathogens	No	No	Yes	No	Unknown	Miscellaneous
53	WHO AMR pipeline analysis	2021-11-01		Non-traditional	Staphyloxanthin biosynthesis inhibition	S. aureus	Oral	Phase I	Not registered	Aptorum Group	Priority pathogens	Staphylococcus aureus	Other priority pathogens	Yes	No	Yes	No	Unknown	Miscellaneous
54	WHO AMR pipeline analysis	2021-11-01		Non-traditional	Staphyloxanthin biosynthesis inhibition	S. aureus	Oral	Phase I	Not registered	Aptorum Group	Priority pathogens	Pseudomonas aeruginosa	Critical priority pathogens	No	No	Yes	No	Unknown	Miscellaneous
55	WHO AMR pipeline analysis	2021-11-01		Non-traditional	Staphyloxanthin biosynthesis inhibition	S. aureus	Oral	Phase I	Not registered	Aptorum Group	Priority pathogens	Other priority pathogens	Other priority pathogens	Yes	No	Yes	No	Unknown	Miscellaneous
56	WHO AMR pipeline analysis	2021-11-01		Non-traditional	Staphyloxanthin biosynthesis inhibition	S. aureus	Oral	Phase I	Not registered	Aptorum Group	Priority pathogens	Neisseria gonnorhoeae	Other priority pathogens	No	No	Yes	No	Unknown	Miscellaneous
57	WHO AMR pipeline analysis	2021-11-01		Non-traditional	Staphyloxanthin biosynthesis inhibition	S. aureus	Oral	Phase I	Not registered	Aptorum Group	Priority pathogens	Helicobacter pylori	Other priority pathogens	No	No	Yes	No	Unknown	Miscellaneous
58	WHO AMR pipeline analysis	2021-11-01		Non-traditional	Staphyloxanthin biosynthesis inhibition	S. aureus	Oral	Phase I	Not registered	Aptorum Group	Priority pathogens	Gram-positive priority pathogens	Other priority pathogens	Yes	No	Yes	No	Unknown	Miscellaneous
59	WHO AMR pipeline analysis	2021-11-01		Non-traditional	Staphyloxanthin biosynthesis inhibition	S. aureus	Oral	Phase I	Not registered	Aptorum Group	Priority pathogens	Enterococcus faecium	Other priority pathogens	No	No	Yes	No	Unknown	Miscellaneous
60	WHO AMR pipeline analysis	2021-11-01		Non-traditional	Staphyloxanthin biosynthesis inhibition	S. aureus	Oral	Phase I	Not registered	Aptorum Group	Priority pathogens	Enterobacterales	Critical priority pathogens	No	No	Yes	No	Unknown	Miscellaneous
61	WHO AMR pipeline analysis	2021-11-01		Non-traditional	Staphyloxanthin biosynthesis inhibition	S. aureus	Oral	Phase I	Not registered	Aptorum Group	Priority pathogens	Critical priority pathogens	Critical priority pathogens	No	No	Yes	No	Unknown	Miscellaneous
62	WHO AMR pipeline analysis	2021-11-01		Non-traditional	Staphyloxanthin biosynthesis inhibition	S. aureus	Oral	Phase I	Not registered	Aptorum Group	Priority pathogens	Campylobacter spp.	Other priority pathogens	No	No	Yes	No	Unknown	Miscellaneous
63	WHO AMR pipeline analysis	2021-11-01		Non-traditional	Staphyloxanthin biosynthesis inhibition	S. aureus	Oral	Phase I	Not registered	Aptorum Group	Priority pathogens	All critical priority pathogens	Critical priority pathogens	No	No	Yes	No	Unknown	Miscellaneous
64	WHO AMR pipeline analysis	2021-11-01		Non-traditional	Staphyloxanthin biosynthesis inhibition	S. aureus	Oral	Phase I	Not registered	Aptorum Group	Priority pathogens	Acinetobacter baumannii	Critical priority pathogens	No	No	Yes	No	Unknown	Miscellaneous
65	WHO AMR pipeline analysis	2021-11-01		Non-traditional	Bacteriophage	CF subjects with P. aeruginosa infections	Inhalation	Phase II	NCT04596319	Armata Pharmaceuticals	Priority pathogens	Streptococcus pneumoniae	Other priority pathogens	No	No	Yes	No	Unknown	Bacteriophages and phage-derived enzymes
66	WHO AMR pipeline analysis	2021-11-01		Non-traditional	Bacteriophage	CF subjects with P. aeruginosa infections	Inhalation	Phase II	NCT04596319	Armata Pharmaceuticals	Priority pathogens	Staphylococcus aureus	Other priority pathogens	No	No	Yes	No	Unknown	Bacteriophages and phage-derived enzymes
67	WHO AMR pipeline analysis	2021-11-01		Non-traditional	Bacteriophage	CF subjects with P. aeruginosa infections	Inhalation	Phase II	NCT04596319	Armata Pharmaceuticals	Priority pathogens	Pseudomonas aeruginosa	Critical priority pathogens	Yes	No	Yes	No	Unknown	Bacteriophages and phage-derived enzymes
68	WHO AMR pipeline analysis	2021-11-01		Non-traditional	Bacteriophage	CF subjects with P. aeruginosa infections	Inhalation	Phase II	NCT04596319	Armata Pharmaceuticals	Priority pathogens	Other priority pathogens	Other priority pathogens	No	No	Yes	No	Unknown	Bacteriophages and phage-derived enzymes
69	WHO AMR pipeline analysis	2021-11-01		Non-traditional	Bacteriophage	CF subjects with P. aeruginosa infections	Inhalation	Phase II	NCT04596319	Armata Pharmaceuticals	Priority pathogens	Neisseria gonnorhoeae	Other priority pathogens	No	No	Yes	No	Unknown	Bacteriophages and phage-derived enzymes
70	WHO AMR pipeline analysis	2021-11-01		Non-traditional	Bacteriophage	CF subjects with P. aeruginosa infections	Inhalation	Phase II	NCT04596319	Armata Pharmaceuticals	Priority pathogens	Helicobacter pylori	Other priority pathogens	No	No	Yes	No	Unknown	Bacteriophages and phage-derived enzymes
71	WHO AMR pipeline analysis	2021-11-01		Non-traditional	Bacteriophage	CF subjects with P. aeruginosa infections	Inhalation	Phase II	NCT04596319	Armata Pharmaceuticals	Priority pathogens	Gram-positive priority pathogens	Other priority pathogens	No	No	Yes	No	Unknown	Bacteriophages and phage-derived enzymes
72	WHO AMR pipeline analysis	2021-11-01		Non-traditional	Bacteriophage	CF subjects with P. aeruginosa infections	Inhalation	Phase II	NCT04596319	Armata Pharmaceuticals	Priority pathogens	Enterococcus faecium	Other priority pathogens	No	No	Yes	No	Unknown	Bacteriophages and phage-derived enzymes
73	WHO AMR pipeline analysis	2021-11-01		Non-traditional	Bacteriophage	CF subjects with P. aeruginosa infections	Inhalation	Phase II	NCT04596319	Armata Pharmaceuticals	Priority pathogens	Enterobacterales	Critical priority pathogens	No	No	Yes	No	Unknown	Bacteriophages and phage-derived enzymes
74	WHO AMR pipeline analysis	2021-11-01		Non-traditional	Bacteriophage	CF subjects with P. aeruginosa infections	Inhalation	Phase II	NCT04596319	Armata Pharmaceuticals	Priority pathogens	Critical priority pathogens	Critical priority pathogens	Yes	No	Yes	No	Unknown	Bacteriophages and phage-derived enzymes
75	WHO AMR pipeline analysis	2021-11-01		Non-traditional	Bacteriophage	CF subjects with P. aeruginosa infections	Inhalation	Phase II	NCT04596319	Armata Pharmaceuticals	Priority pathogens	Campylobacter spp.	Other priority pathogens	No	No	Yes	No	Unknown	Bacteriophages and phage-derived enzymes
76	WHO AMR pipeline analysis	2021-11-01		Non-traditional	Bacteriophage	CF subjects with P. aeruginosa infections	Inhalation	Phase II	NCT04596319	Armata Pharmaceuticals	Priority pathogens	All critical priority pathogens	Critical priority pathogens	No	No	Yes	No	Unknown	Bacteriophages and phage-derived enzymes
77	WHO AMR pipeline analysis	2021-11-01		Non-traditional	Bacteriophage	CF subjects with P. aeruginosa infections	Inhalation	Phase II	NCT04596319	Armata Pharmaceuticals	Priority pathogens	Acinetobacter baumannii	Critical priority pathogens	No	No	Yes	No	Unknown	Bacteriophages and phage-derived enzymes
78	WHO AMR pipeline analysis	2021-11-01	Tosatoxumab	Non-traditional	anti-S. aureus IgM monoclonal Ab	S. aureus HAP, VAP	IV	Phase III	NCT03816956	Aridis Pharmaceuticals, Inc.	Priority pathogens	Streptococcus pneumoniae	Other priority pathogens	No	No	Yes	No	Unknown	Antibodies
79	WHO AMR pipeline analysis	2021-11-01	Tosatoxumab	Non-traditional	anti-S. aureus IgM monoclonal Ab	S. aureus HAP, VAP	IV	Phase III	NCT03816956	Aridis Pharmaceuticals, Inc.	Priority pathogens	Staphylococcus aureus	Other priority pathogens	Yes	No	Yes	No	Unknown	Antibodies
80	WHO AMR pipeline analysis	2021-11-01	Tosatoxumab	Non-traditional	anti-S. aureus IgM monoclonal Ab	S. aureus HAP, VAP	IV	Phase III	NCT03816956	Aridis Pharmaceuticals, Inc.	Priority pathogens	Pseudomonas aeruginosa	Critical priority pathogens	No	No	Yes	No	Unknown	Antibodies
81	WHO AMR pipeline analysis	2021-11-01	Tosatoxumab	Non-traditional	anti-S. aureus IgM monoclonal Ab	S. aureus HAP, VAP	IV	Phase III	NCT03816956	Aridis Pharmaceuticals, Inc.	Priority pathogens	Other priority pathogens	Other priority pathogens	No	No	Yes	No	Unknown	Antibodies
82	WHO AMR pipeline analysis	2021-11-01	Tosatoxumab	Non-traditional	anti-S. aureus IgM monoclonal Ab	S. aureus HAP, VAP	IV	Phase III	NCT03816956	Aridis Pharmaceuticals, Inc.	Priority pathogens	Neisseria gonnorhoeae	Other priority pathogens	No	No	Yes	No	Unknown	Antibodies
83	WHO AMR pipeline analysis	2021-11-01	Tosatoxumab	Non-traditional	anti-S. aureus IgM monoclonal Ab	S. aureus HAP, VAP	IV	Phase III	NCT03816956	Aridis Pharmaceuticals, Inc.	Priority pathogens	Helicobacter pylori	Other priority pathogens	No	No	Yes	No	Unknown	Antibodies
84	WHO AMR pipeline analysis	2021-11-01	Tosatoxumab	Non-traditional	anti-S. aureus IgM monoclonal Ab	S. aureus HAP, VAP	IV	Phase III	NCT03816956	Aridis Pharmaceuticals, Inc.	Priority pathogens	Gram-positive priority pathogens	Other priority pathogens	Yes	No	Yes	No	Unknown	Antibodies
85	WHO AMR pipeline analysis	2021-11-01	Tosatoxumab	Non-traditional	anti-S. aureus IgM monoclonal Ab	S. aureus HAP, VAP	IV	Phase III	NCT03816956	Aridis Pharmaceuticals, Inc.	Priority pathogens	Enterococcus faecium	Other priority pathogens	No	No	Yes	No	Unknown	Antibodies
86	WHO AMR pipeline analysis	2021-11-01	Tosatoxumab	Non-traditional	anti-S. aureus IgM monoclonal Ab	S. aureus HAP, VAP	IV	Phase III	NCT03816956	Aridis Pharmaceuticals, Inc.	Priority pathogens	Enterobacterales	Critical priority pathogens	No	No	Yes	No	Unknown	Antibodies
87	WHO AMR pipeline analysis	2021-11-01	Tosatoxumab	Non-traditional	anti-S. aureus IgM monoclonal Ab	S. aureus HAP, VAP	IV	Phase III	NCT03816956	Aridis Pharmaceuticals, Inc.	Priority pathogens	Critical priority pathogens	Critical priority pathogens	No	No	Yes	No	Unknown	Antibodies
88	WHO AMR pipeline analysis	2021-11-01	Tosatoxumab	Non-traditional	anti-S. aureus IgM monoclonal Ab	S. aureus HAP, VAP	IV	Phase III	NCT03816956	Aridis Pharmaceuticals, Inc.	Priority pathogens	Campylobacter spp.	Other priority pathogens	No	No	Yes	No	Unknown	Antibodies
89	WHO AMR pipeline analysis	2021-11-01	Tosatoxumab	Non-traditional	anti-S. aureus IgM monoclonal Ab	S. aureus HAP, VAP	IV	Phase III	NCT03816956	Aridis Pharmaceuticals, Inc.	Priority pathogens	All critical priority pathogens	Critical priority pathogens	No	No	Yes	No	Unknown	Antibodies
90	WHO AMR pipeline analysis	2021-11-01	Tosatoxumab	Non-traditional	anti-S. aureus IgM monoclonal Ab	S. aureus HAP, VAP	IV	Phase III	NCT03816956	Aridis Pharmaceuticals, Inc.	Priority pathogens	Acinetobacter baumannii	Critical priority pathogens	No	No	Yes	No	Unknown	Antibodies
91	WHO AMR pipeline analysis	2021-11-01	MEDI-4893, Suvratoxumab	Non-traditional	anti-S. aureus IgG monoclonal Ab	 S. aureus HAP, VAP	IV	Phase II	NCT02296320	"Aridis
AstraZeneca/ MedImmune"	Priority pathogens	Streptococcus pneumoniae	Other priority pathogens	No	No	Yes	No	Unknown	Antibodies
